log_file,task,phase,samples,duration_s,tip_target_error_mm_max,tip_target_error_mm_mean,tip_target_error_mm_final,entry_rcm_error_mm_max,entry_rcm_error_mm_mean,entry_rcm_error_mm_final,target_rcm_error_mm_max,target_rcm_error_mm_mean,target_rcm_error_mm_final,task2_entry_cone_error_mm_max,task2_entry_cone_error_mm_mean,task2_entry_cone_error_mm_final,task4_tip_cone_error_mm_max,task4_tip_cone_error_mm_mean,task4_tip_cone_error_mm_final,active_task_error_mm_max,active_task_error_mm_mean,active_task_error_mm_final,skull_violation_mm_max,skull_violation_mm_mean,skull_violation_mm_final,qdot_norm_rad_s_max,qdot_norm_rad_s_mean,qdot_norm_rad_s_final,lambda_max,lambda_mean,lambda_final,fps_max,fps_mean,fps_final
project4_multircm_20260716_121359_711.csv,T1_entry_rcm_tip_target,Done,104,6.114699999999999,0.836,0.5592211538461539,0.403,0.161,0.12042307692307694,0.088,111.723,111.72221153846152,111.723,8.95,8.91075,8.874,14.618,14.298990384615383,14.079,0.836,0.5592211538461539,0.403,0.0,0.0,0.0,0.00912,0.006361923076923076,0.00426,0.60548,0.6052180769230768,0.60521,65.04,50.744807692307695,62.75
project4_multircm_20260716_121359_711.csv,T2_target_rcm_entry_cone,Done,1174,67.16039999999998,0.347,0.006005962521294719,0.001,110.316,110.31048551959115,110.314,1.454,1.4156831345826235,1.414,13.612,5.016419931856899,5.72,14.137,13.801643952299827,13.8,13.612,5.016419931856899,5.72,0.0,0.0,0.0,0.18058,0.04128295570698467,0.01803,0.995,0.9949999999999999,0.995,154.69,73.60313458262351,63.65
project4_multircm_20260716_121359_711.csv,T4_entry_rcm_tip_cone,Done,1330,78.513,15.04,12.12414060150376,3.376,7.217,0.3448706766917293,0.957,112.168,111.72471203007521,111.737,14.363,8.702660902255639,9.31,14.344,4.385487969924813,11.175,14.344,4.385487969924813,11.175,0.0,0.0,0.0,1.55069,0.09031676691729325,0.14889,0.60861,0.6030465563909775,0.60526,136.66,73.55187969924812,22.78
project4_multircm_20260716_121705_730.csv,T3_safe_insertion,ApproachEntry,19,1.0118,196.294,158.95331578947366,196.294,175.274,99.93052631578948,88.064,197.359,159.456,197.359,180.032,125.217,180.032,196.7,158.11936842105263,196.7,196.294,158.95331578947366,196.294,0.0,0.0,0.0,0.66047,0.44000999999999996,0.14608,0.995,0.9950000000000001,0.995,225.12,103.45263157894738,74.48
project4_multircm_20260716_121705_730.csv,T3_safe_insertion,Done,61,3.5473,5.483,1.5493606557377047,0.835,0.231,0.1405409836065574,0.103,111.722,111.71963934426225,111.722,9.95,8.782049180327869,8.71,14.973,13.45622950819672,13.096,5.483,1.5493606557377047,0.835,0.0,0.0,0.0,0.06849,0.02097934426229508,0.0087,0.62361,0.607958524590164,0.60524,61.85,51.48557377049181,47.96
project4_multircm_20260716_121705_730.csv,T3_safe_insertion,InsertToTarget,175,10.0522,115.505,61.289371428571435,6.083,5.168,0.3131142857142858,0.232,116.881,111.84566857142856,111.707,116.924,62.63052571428571,10.281,116.275,63.3691257142857,15.209,115.505,61.289371428571435,6.083,0.0,0.0,0.0,0.20733,0.07030914285714286,0.06999,0.995,0.8209310285714286,0.62583,111.53,62.29685714285715,50.14
project4_multircm_20260716_121705_730.csv,T3_safe_insertion,PierceEntry,114,6.210100000000001,207.585,168.1172631578947,116.279,97.691,58.20535964912281,5.939,208.714,169.34314035087718,117.653,194.868,161.62536842105268,117.669,208.078,168.49992105263155,117.042,207.585,168.1172631578947,116.279,0.0,0.0,0.0,0.59106,0.19087070175438597,0.22278,0.995,0.9949999999999998,0.995,143.24,105.77622807017543,97.2
project4_multircm_20260716_121705_730.csv,T1_entry_rcm_tip_target,Done,114,6.634699999999999,0.812,0.542359649122807,0.376,0.158,0.11693859649122809,0.082,111.723,111.7222894736842,111.723,8.946,8.906736842105262,8.866,14.596,14.280508771929828,14.044,0.812,0.542359649122807,0.376,0.0,0.0,0.0,0.00882,0.006130438596491227,0.00389,0.60524,0.6052053508771928,0.60521,93.85,57.4559649122807,69.83
project4_multircm_20260716_121705_730.csv,T2_target_rcm_entry_cone,Done,1457,82.1235,0.266,0.005637611530542211,0.009,110.316,110.31124982841456,110.311,1.439,1.4148833218943035,1.414,13.764,6.082283459162664,8.089,14.058,13.800886753603294,13.791,13.764,6.082283459162664,8.089,0.0,0.0,0.0,0.17884,0.042538119423472895,0.14075,0.995,0.9949999999999998,0.995,158.27,86.18679478380234,78.89
project4_multircm_20260716_121705_730.csv,T4_entry_rcm_tip_cone,Done,1137,64.0202,15.041,13.02401671064204,13.447,2.451,0.34383641160949857,0.123,111.93,111.72460158311345,111.727,9.281,8.678578715919086,8.778,11.261,3.1479182058047495,1.604,11.261,3.1479182058047495,1.604,0.0,0.0,0.0,0.45507,0.07117221635883905,0.05833,0.60587,0.6027251187335092,0.60258,232.83,81.54620052770449,26.75
