time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.10096,0.08096,12.35218,ApproachEntry,Double,757.29660,563.35420,91.75002,879.01250,879.01250,0.00000,757.29660,88.24998,81.24998,0.00000,0.00000,0.15601,1.00000,6,6,1,0.68060,1.22472,0.04515,1.01241,1.42840,0.13692,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.06301,25.75862,-27.00000,22.67546,25.33015,27.00000
0.13866,0.01141,87.65533,ApproachEntry,Double,621.88450,419.97470,103.21400,755.45920,755.45920,0.00000,621.88450,76.78601,69.78601,0.00000,0.00000,0.15601,1.00000,6,6,1,0.62532,1.04765,-0.00078,0.90847,1.31477,0.09126,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-0.29867,28.02235,-54.00000,49.67546,52.33015,54.00000
0.17480,0.01101,90.80719,ApproachEntry,Double,295.09070,398.71920,73.31950,442.47040,442.47040,0.00000,295.09070,73.31950,66.31950,0.00000,0.00000,0.15601,1.00000,6,6,1,0.42709,0.90308,0.01992,0.80121,0.98463,0.13558,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-9.83033,42.59185,-90.00000,50.90064,23.75466,59.99791
0.21205,0.01793,55.76460,ApproachEntry,Double,281.71920,497.78790,54.82785,437.53950,437.53950,0.00000,281.71920,54.82785,47.82785,0.00000,0.00000,0.15601,1.00000,6,6,1,0.37185,1.01671,0.00758,0.75976,0.97299,0.09484,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-13.49360,60.59185,-97.89794,32.90064,5.75466,41.99791
0.24597,0.01598,62.56864,ApproachEntry,Double,261.48080,510.63090,38.36301,413.04560,413.04560,0.00000,261.48080,38.36301,31.36301,0.00000,0.00000,0.15601,1.00000,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.10540,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791
0.27633,0.01375,72.72240,ApproachEntry,Double,120.71870,424.80580,20.76968,271.26770,271.26770,0.00000,120.71870,20.76968,13.76968,0.00000,0.00000,0.15601,1.00000,6,6,1,0.50708,1.06985,0.02294,0.81578,0.81549,0.02511,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-8.91750,49.22839,-64.25295,-3.09936,-30.24534,30.88181
0.30681,0.01409,70.99042,ApproachEntry,Double,122.25460,406.14820,13.12928,253.52620,253.52620,0.00000,122.25460,13.12928,6.12928,0.00000,0.00000,0.15601,1.00000,6,6,1,0.53828,1.07099,0.03463,0.77855,0.75963,-0.03835,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.28198,39.80555,-46.25295,-21.09936,-48.24534,48.03878
0.33721,0.01500,66.67155,ApproachEntry,Double,122.28020,456.95480,2.63990,281.91690,281.91690,0.00000,122.28020,2.63990,0.00000,0.00000,0.00000,0.15601,1.00000,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934
0.38154,0.01657,60.36346,AlignAtEntry,Double,7.67819,7.67819,0.38410,168.45730,168.45730,0.00000,7.67819,0.38410,0.00000,0.00000,0.00000,1.00000,1.00000,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854
0.44145,0.03763,26.57339,InsertToTarget,Double,1.74601,1.07844,0.17804,159.87870,159.87870,0.00839,1.08246,0.17804,0.00000,0.00000,0.00000,0.99663,1.00000,6,6,1,0.62193,1.04594,0.05989,0.82073,0.69884,0.06108,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.61881,20.78098,-17.03676,-43.80280,-51.89998,54.98694
0.47483,0.00690,144.87840,InsertToTarget,Double,2.13389,0.30445,0.04423,159.13360,159.13360,0.01306,0.30621,0.04423,0.00000,0.00000,0.00000,0.99474,1.00000,6,6,1,0.62251,1.04542,0.05997,0.82106,0.69817,0.06031,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.59841,20.53686,-16.68377,-44.06707,-51.91529,55.35015
0.50811,0.00966,103.54030,InsertToTarget,Double,2.86124,0.10243,0.00000,158.38580,158.38580,0.01772,0.10326,0.00000,0.00000,0.00000,0.00000,0.99286,1.00000,6,6,1,0.62293,1.04480,0.05999,0.82142,0.69752,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.58522,20.40209,-16.52447,-44.15502,-51.89348,55.45368
0.54082,0.01148,87.08004,InsertToTarget,Double,3.59762,0.06715,0.00000,157.64820,157.64820,0.02230,0.06786,0.00000,0.00000,0.00000,0.00000,0.99101,1.00000,6,6,1,0.62330,1.04416,0.05999,0.82178,0.69688,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.57396,20.29601,-16.41457,-44.19769,-51.86364,55.48849
0.57442,0.01034,96.69548,InsertToTarget,Double,4.35602,0.05888,0.00000,156.88960,156.88960,0.02700,0.05963,0.00000,0.00000,0.00000,0.00000,0.98911,1.00000,6,6,1,0.62368,1.04350,0.05999,0.82216,0.69622,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.56261,20.19013,-16.30721,-44.23624,-51.83142,55.51513
0.60823,0.01222,81.80993,InsertToTarget,Double,5.11885,0.05455,0.00000,156.12660,156.12660,0.03174,0.05538,0.00000,0.00000,0.00000,0.00000,0.98721,1.00000,6,6,1,0.62406,1.04284,0.05999,0.82254,0.69555,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.55129,20.08494,-16.20157,-44.27307,-51.79850,55.53915
0.64332,0.01191,83.96731,InsertToTarget,Double,5.91101,0.05669,0.00000,155.33440,155.33440,0.03665,0.05769,0.00000,0.00000,0.00000,0.00000,0.98523,1.00000,6,6,1,0.62445,1.04215,0.05999,0.82293,0.69487,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.53954,19.97565,-16.09176,-44.31146,-51.76373,55.56341
0.67825,0.01106,90.45510,InsertToTarget,Double,6.69958,0.05842,0.00000,154.54590,154.54590,0.04154,0.05959,0.00000,0.00000,0.00000,0.00000,0.98326,1.00000,6,6,1,0.62484,1.04147,0.05999,0.82332,0.69418,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.52781,19.86617,-15.98131,-44.35089,-51.72875,55.58873
0.71185,0.01069,93.55038,InsertToTarget,Double,7.45808,0.05840,0.00000,153.78730,153.78730,0.04624,0.05971,0.00000,0.00000,0.00000,0.00000,0.98136,1.00000,6,6,1,0.62522,1.04081,0.05999,0.82370,0.69352,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.51651,19.76030,-15.87414,-44.38991,-51.69480,55.61433
0.79748,0.07231,13.82916,InsertToTarget,Double,9.39127,0.08625,0.01978,151.85430,151.85430,0.05823,0.08860,0.01978,0.00000,0.00000,0.00000,0.97653,1.00000,6,6,1,0.62612,1.03910,0.05995,0.82463,0.69183,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.48973,19.51961,-15.65224,-44.44217,-51.60661,55.62564
0.83730,0.01655,60.41678,InsertToTarget,Double,10.29278,0.14370,0.01978,150.95350,150.95350,0.06381,0.14809,0.01978,0.00000,0.00000,0.00000,0.97428,1.00000,6,6,1,0.62660,1.03833,0.05998,0.82511,0.69106,0.06015,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.47546,19.38094,-15.50220,-44.50872,-51.56255,55.66986
0.87332,0.00634,157.67740,InsertToTarget,Double,11.10321,0.06524,0.00000,150.14220,150.14220,0.06885,0.06737,0.00000,0.00000,0.00000,0.00000,0.97225,1.00000,6,6,1,0.62703,1.03764,0.05999,0.82551,0.69036,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.46204,19.24641,-15.35075,-44.58854,-51.52539,55.74638
0.90753,0.01119,89.40376,InsertToTarget,Double,11.87498,0.05084,0.00000,149.37030,149.37030,0.07364,0.05268,0.00000,0.00000,0.00000,0.00000,0.97032,1.00000,6,6,1,0.62741,1.03697,0.05999,0.82589,0.68969,0.06005,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.45048,19.13632,-15.23789,-44.63347,-51.48869,55.77887
0.94278,0.01142,87.52806,InsertToTarget,Double,12.67125,0.06184,0.01978,148.57410,148.57410,0.07857,0.06422,0.00000,0.00000,0.00000,0.00000,0.96833,1.00000,6,6,1,0.62780,1.03628,0.05999,0.82628,0.68900,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.43870,19.02496,-15.12527,-44.67574,-51.44986,55.80485
0.97465,0.01061,94.25531,InsertToTarget,Double,13.39066,0.06370,0.00000,147.85470,147.85470,0.08304,0.06628,0.00000,0.00000,0.00000,0.00000,0.96653,1.00000,6,6,1,0.62816,1.03566,0.05999,0.82664,0.68837,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.42791,18.92187,-15.01930,-44.71850,-51.41435,55.83392
1.00647,0.01134,88.17437,InsertToTarget,Double,14.10893,0.06387,0.00000,147.13640,147.13640,0.08749,0.06660,0.00000,0.00000,0.00000,0.00000,0.96473,1.00000,6,6,1,0.62852,1.03503,0.05999,0.82700,0.68775,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.41717,18.81902,-14.91369,-44.76128,-51.37851,55.86316
