time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.12193,0.10193,9.81051,ApproachEntry,Double,547.77870,390.48450,72.11312,636.47630,636.47630,0.00000,547.77870,72.11312,65.11312,0.00000,0.00000,0.15601,1.00000,6,6,1,0.74238,1.07943,0.04711,1.10598,1.14571,0.20007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-1.84659,10.70407,-11.36360,3.44111,9.73867,10.30959
0.15678,0.01171,85.41096,ApproachEntry,Double,703.13800,524.67470,85.42368,817.32980,817.32980,0.00000,703.13800,85.42368,78.42368,0.00000,0.00000,0.15601,1.00000,6,6,1,0.69922,1.19497,0.04744,1.04974,1.35851,0.14935,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-2.99300,22.22406,-22.88359,14.47519,21.25866,21.82958
0.19149,0.01288,77.62807,ApproachEntry,Double,864.19310,652.39000,100.41240,996.01570,996.01570,0.00000,864.19310,79.58755,72.58755,0.00000,0.00000,0.15601,1.00000,6,6,1,0.64384,1.29899,0.02295,0.94565,1.55472,0.08224,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-2.93173,33.74405,-34.40358,25.99518,32.77865,33.34957
0.23354,0.01381,72.40614,ApproachEntry,Double,756.57230,537.39090,105.72550,892.24650,892.24650,0.00000,756.57230,74.27454,67.27454,0.00000,0.00000,0.15601,1.00000,6,6,1,0.62447,1.16948,0.00825,0.90070,1.45219,0.06964,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-1.48512,33.44677,-49.76357,41.35516,48.13863,48.70956
0.26970,0.02034,49.17365,ApproachEntry,Double,543.40730,368.94330,99.63520,676.65030,676.65030,0.00000,543.40730,80.36480,73.36480,0.00000,0.00000,0.15601,1.00000,6,6,1,0.60361,0.98697,0.01017,0.90324,1.23530,0.10265,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-1.42507,25.78387,-57.44356,49.03516,54.88350,56.38955
0.31042,0.01248,80.09813,ApproachEntry,Double,327.03130,302.32330,86.79525,463.43380,463.43380,0.00000,327.03130,86.79525,79.79525,0.00000,0.00000,0.15601,1.00000,6,6,1,0.52121,0.84724,0.00969,0.86782,1.01955,0.11052,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-4.46662,26.44976,-72.80354,57.33992,41.53744,68.28008
0.34762,0.00856,116.81870,ApproachEntry,Double,259.71100,347.54750,73.85631,400.92210,400.92210,0.00000,259.71100,73.85631,66.85631,0.00000,0.00000,0.15601,1.00000,6,6,1,0.46471,0.86539,0.01500,0.84207,0.95293,0.11469,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.94421,35.71844,-84.32353,48.27088,30.01745,60.57103
0.37861,0.01172,85.33798,ApproachEntry,Double,213.26150,405.48290,60.01696,363.47940,363.47940,0.00000,213.26150,60.01696,53.01696,0.00000,0.00000,0.15601,1.00000,6,6,1,0.41813,0.91715,0.00796,0.80815,0.90979,0.09646,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-10.69398,47.21342,-93.28579,36.77213,18.49746,49.05104
0.40940,0.00892,112.11540,ApproachEntry,Double,216.06080,432.82180,53.12413,367.54240,367.54240,0.00000,216.06080,53.12413,46.12413,0.00000,0.00000,0.15601,1.00000,6,6,1,0.41459,0.96767,0.01216,0.80280,0.91305,0.09159,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.67042,52.73911,-92.95541,29.09214,10.81747,41.37105
0.43989,0.00947,105.57500,ApproachEntry,Double,202.27810,451.17590,39.26995,351.17460,351.17460,0.00000,202.27810,39.26995,32.26995,0.00000,0.00000,0.15601,1.00000,6,6,1,0.44903,1.04614,0.02595,0.81007,0.89578,0.10987,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.22942,55.79485,-83.01463,13.73215,-4.54253,26.39399
