time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.08555,0.06555,15.25460,ApproachEntry,Double,744.45970,559.60970,89.06911,864.10840,864.10840,0.00000,744.45970,89.06911,82.06911,0.00000,0.00000,0.15601,1.00000,6,6,1,0.68386,1.22420,0.04440,1.02476,1.41152,0.13767,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.17789,25.64353,-26.55661,16.83267,24.55462,24.23478
0.11569,0.01422,70.33962,ApproachEntry,Double,896.14060,668.01220,108.12510,1034.52900,1034.52900,0.00000,896.14060,71.87487,64.87487,0.00000,0.00000,0.15601,1.00000,6,6,1,0.61168,1.29901,0.00490,0.87754,1.59425,0.05129,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-2.27722,38.97309,-44.55661,34.83266,42.55462,42.23478
0.14751,0.00933,107.16710,ApproachEntry,Double,350.73380,303.57050,89.45200,487.63870,487.63870,0.00000,350.73380,89.45200,82.45200,0.00000,0.00000,0.15601,1.00000,6,6,1,0.53062,0.85611,0.00255,0.86716,1.04401,0.10946,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.39178,25.93487,-71.55661,58.91585,46.10555,68.33386
0.18581,0.01304,76.68765,ApproachEntry,Double,262.13270,487.86730,53.35244,417.95940,417.95940,0.00000,262.13270,53.35244,46.35244,0.00000,0.00000,0.15601,1.00000,6,6,1,0.37438,1.00598,0.01450,0.76081,0.95181,0.10247,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-13.52710,59.01700,-97.46580,27.47438,10.10555,40.76130
0.21957,0.02018,49.54583,ApproachEntry,Double,272.85370,518.94700,39.25637,424.64740,424.64740,0.00000,272.85370,39.25637,32.25637,0.00000,0.00000,0.15601,1.00000,6,6,1,0.42792,1.11796,0.01676,0.78367,0.96451,0.11624,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.53055,62.82370,-84.08949,9.47438,-7.89445,23.57882
0.26075,0.02074,48.20494,ApproachEntry,Double,116.97760,414.32690,15.55221,257.81420,257.81420,0.00000,116.97760,15.55221,8.55221,0.00000,0.00000,0.15601,1.00000,6,6,1,0.52451,1.07064,0.02621,0.80031,0.78441,-0.01856,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.86659,45.36255,-57.09138,-17.52562,-34.89445,42.57655
0.31261,0.02326,42.98661,ApproachEntry,Double,134.19280,471.78150,0.13848,295.43320,295.43320,0.00000,134.19280,0.13848,0.00000,0.00000,0.00000,0.15601,1.00000,6,6,1,0.55398,1.16324,0.05951,0.75282,0.81616,0.05864,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-5.49345,35.62925,-29.44347,-45.79809,-54.09475,58.83707
0.35078,0.00982,101.79200,InsertToTarget,Double,1.10450,1.02933,0.16071,160.85030,160.85030,0.00237,1.03036,0.15949,0.00000,0.00000,0.00000,0.99905,1.00000,6,6,1,0.62156,1.04685,0.05996,0.82036,0.69975,0.06101,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.74050,22.91609,-21.45928,-46.40852,-46.02197,55.96857
0.40073,0.02098,47.66432,InsertToTarget,Double,1.52301,0.18350,0.02798,159.73340,159.73340,0.00936,0.18426,0.02798,0.00000,0.00000,0.00000,0.99623,1.00000,6,6,1,0.62225,1.04596,0.05999,0.82077,0.69870,0.06018,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.71982,22.67454,-21.14458,-46.57327,-46.03960,56.23731
0.43561,0.01159,86.26223,InsertToTarget,Double,2.30075,0.10006,0.00000,158.94670,158.94670,0.01425,0.10070,0.00000,0.00000,0.00000,0.00000,0.99426,1.00000,6,6,1,0.62266,1.04529,0.05999,0.82115,0.69801,0.06010,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.70833,22.56240,-21.02766,-46.60815,-46.01788,56.27168
0.46995,0.00953,104.95780,InsertToTarget,Double,3.07287,0.03218,0.00000,158.17250,158.17250,0.01905,0.03247,0.00000,0.00000,0.00000,0.00000,0.99232,1.00000,6,6,1,0.62306,1.04462,0.06000,0.82153,0.69733,0.06003,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.69714,22.45402,-20.91619,-46.64017,-45.99546,56.30081
0.50376,0.00757,132.06760,InsertToTarget,Double,3.83594,0.02251,0.00000,157.40930,157.40930,0.02379,0.02278,0.00000,0.00000,0.00000,0.00000,0.99041,1.00000,6,6,1,0.62344,1.04396,0.06000,0.82191,0.69667,0.06002,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.68644,22.35362,-20.81792,-46.66281,-45.96980,56.31220
0.53646,0.01159,86.26676,InsertToTarget,Double,4.57399,0.02289,0.00000,156.67120,156.67120,0.02837,0.02322,0.00000,0.00000,0.00000,0.00000,0.98857,1.00000,6,6,1,0.62380,1.04332,0.05999,0.82227,0.69603,0.06002,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.67623,22.25860,-20.72665,-46.68193,-45.94411,56.31873
0.57426,0.01286,77.74671,InsertToTarget,Double,5.42758,0.02888,0.00000,155.81770,155.81770,0.03366,0.02937,0.00000,0.00000,0.00000,0.00000,0.98643,1.00000,6,6,1,0.62422,1.04258,0.05999,0.82270,0.69529,0.06003,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.66442,22.14853,-20.62074,-46.70419,-45.91403,56.32570
0.60716,0.00720,138.92690,InsertToTarget,Double,6.16999,0.02375,0.00000,155.07520,155.07520,0.03826,0.02419,0.00000,0.00000,0.00000,0.00000,0.98458,1.00000,6,6,1,0.62460,1.04194,0.06000,0.82306,0.69464,0.06002,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.65394,22.04890,-20.52166,-46.72892,-45.88884,56.33913
0.64429,0.00862,115.96780,InsertToTarget,Double,7.00810,0.02396,0.00000,154.23710,154.23710,0.04346,0.02448,0.00000,0.00000,0.00000,0.00000,0.98248,1.00000,6,6,1,0.62501,1.04121,0.06000,0.82348,0.69392,0.06002,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.64228,21.93916,-20.41474,-46.75301,-45.85943,56.34906
0.67483,0.01002,99.77806,InsertToTarget,Double,7.69768,0.02552,0.00000,153.54750,153.54750,0.04774,0.02613,0.00000,0.00000,0.00000,0.00000,0.98076,1.00000,6,6,1,0.62535,1.04061,0.06000,0.82382,0.69332,0.06003,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.63268,21.84862,-20.32631,-46.77322,-45.83511,56.35743
0.71408,0.00954,104.86170,InsertToTarget,Double,8.58366,0.02158,0.00000,152.66150,152.66150,0.05323,0.02216,0.00000,0.00000,0.00000,0.00000,0.97854,1.00000,6,6,1,0.62579,1.03984,0.06000,0.82426,0.69255,0.06002,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.62028,21.73062,-20.20973,-46.80143,-45.80413,56.37141
0.75444,0.02415,41.40136,InsertToTarget,Double,9.49432,0.02635,0.00000,151.75090,151.75090,0.05888,0.02721,0.00000,0.00000,0.00000,0.00000,0.97626,1.00000,6,6,1,0.62624,1.03904,0.05999,0.82471,0.69176,0.06003,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.60782,21.61401,-20.09836,-46.82398,-45.77096,56.37714
0.79112,0.01047,95.50035,InsertToTarget,Double,10.32300,0.02945,0.00000,150.92220,150.92220,0.06402,0.03039,0.00000,0.00000,0.00000,0.00000,0.97419,1.00000,6,6,1,0.62665,1.03833,0.05999,0.82512,0.69104,0.06003,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.59604,21.50003,-19.98282,-46.85526,-45.74186,56.39478
