time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.08785,0.06785,14.73868,ApproachEntry,Double,757.29660,563.35420,91.75002,879.01250,879.01250,0.00000,757.29660,88.24998,81.24998,0.00000,0.00000,0.15601,1.00000,6,6,1,0.68060,1.22472,0.04515,1.01241,1.42840,0.13692,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.06301,25.75862,-27.00000,22.67546,25.33015,27.00000
0.12029,0.03244,30.82703,ApproachEntry,Double,882.60850,659.31290,103.72300,1015.91000,1015.91000,0.00000,882.60850,76.27703,69.27703,0.00000,0.00000,0.15601,1.00000,6,6,1,0.64632,1.30245,0.00613,0.93267,1.57537,0.06543,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-1.77188,34.75862,-36.00000,31.67546,34.33015,36.00000
0.15998,0.01053,94.92585,ApproachEntry,Double,417.65410,302.35470,94.73299,551.57570,551.57570,0.00000,417.65410,85.26701,78.26701,0.00000,0.00000,0.15601,1.00000,6,6,1,0.56876,0.88914,0.01374,0.88101,1.10558,0.13887,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-2.19057,23.18256,-63.00000,58.67546,50.75466,63.00000
0.19950,0.00976,102.43240,ApproachEntry,Double,230.89090,447.52830,60.46599,387.11650,387.11650,0.00000,230.89090,60.46599,53.46599,0.00000,0.00000,0.15601,1.00000,6,6,1,0.37382,0.92410,0.00421,0.75999,0.91767,0.10827,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-12.39200,51.59185,-99.00000,41.90064,14.75466,50.99791
0.23813,0.01677,59.64684,ApproachEntry,Double,261.48080,510.63090,38.36301,413.04560,413.04560,0.00000,261.48080,38.36301,31.36301,0.00000,0.00000,0.15601,1.00000,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.10540,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791
0.27800,0.01380,72.46827,ApproachEntry,Double,112.21830,404.62180,15.80011,249.47080,249.47080,0.00000,112.21830,15.80011,8.80012,0.00000,0.00000,0.15601,1.00000,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181
0.31816,0.01311,76.28137,ApproachEntry,Double,122.28020,456.95480,2.63990,281.91690,281.91690,0.00000,122.28020,2.63990,0.00000,0.00000,0.00000,0.15601,1.00000,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934
0.35752,0.01387,72.12157,AlignAtEntry,Double,7.67819,7.67819,0.38410,168.45730,168.45730,0.00000,7.67819,0.38410,0.00000,0.00000,0.00000,1.00000,1.00000,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854
0.38947,0.00971,102.94800,InsertToTarget,Double,1.30783,1.07674,0.17471,160.50930,160.50930,0.00447,1.07884,0.17471,0.00000,0.00000,0.00000,0.99820,1.00000,6,6,1,0.62164,1.04650,0.05991,0.82042,0.69939,0.06108,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.62734,20.85465,-17.10070,-43.79322,-51.92728,54.99028
0.43393,0.03275,30.53190,InsertToTarget,Double,1.82353,0.55990,0.09279,159.51160,159.51160,0.01070,0.56259,0.09279,0.00000,0.00000,0.00000,0.99569,1.00000,6,6,1,0.62224,1.04570,0.05994,0.82088,0.69850,0.06056,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.60747,20.64095,-16.82774,-43.96442,-51.91706,55.21643
