time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.07931,0.05931,16.86007,ApproachEntry,Double,757.29660,563.35420,91.75002,879.01250,879.01250,0.00000,757.29660,88.24998,81.24998,0.00000,0.00000,0.15601,1.00000,6,6,1,0.68060,1.22472,0.04515,1.01241,1.42840,0.13692,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.06301,25.75862,-27.00000,22.67546,25.33015,27.00000
0.12161,0.01315,76.06042,ApproachEntry,Double,867.58970,631.24340,109.19430,1004.13000,1004.13000,0.00000,867.58970,70.80575,63.80575,0.00000,0.00000,0.15601,1.00000,6,6,1,0.63719,1.26395,-0.02059,0.89675,1.56373,0.03194,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-0.03494,37.02235,-45.00000,40.67546,43.33015,45.00000
0.15386,0.01009,99.06968,ApproachEntry,Double,376.77110,319.04980,93.12003,518.00850,518.00850,0.00000,376.77110,86.87997,79.87997,0.00000,0.00000,0.15601,1.00000,6,6,1,0.51784,0.86075,0.01320,0.83401,1.06649,0.14628,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.97544,27.06002,-72.00000,67.26383,41.75466,72.00000
0.18555,0.01376,72.65015,ApproachEntry,Double,230.89090,447.52830,60.46599,387.11650,387.11650,0.00000,230.89090,60.46599,53.46599,0.00000,0.00000,0.15601,1.00000,6,6,1,0.37382,0.92410,0.00421,0.75999,0.91767,0.10827,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-12.39200,51.59185,-99.00000,41.90064,14.75466,50.99791
0.21564,0.01682,59.46830,ApproachEntry,Double,289.53170,516.84940,47.32668,443.22800,443.22800,0.00000,289.53170,47.32668,40.32668,0.00000,0.00000,0.15601,1.00000,6,6,1,0.39551,1.07907,0.01425,0.77582,0.98412,0.09397,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-13.18760,63.19907,-91.25295,23.90064,-3.24534,32.99791
0.25911,0.01401,71.37088,ApproachEntry,Double,120.71870,424.80580,20.76968,271.26770,271.26770,0.00000,120.71870,20.76968,13.76968,0.00000,0.00000,0.15601,1.00000,6,6,1,0.50708,1.06985,0.02294,0.81578,0.81549,0.02511,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-8.91750,49.22839,-64.25295,-3.09936,-30.24534,30.88181
0.29803,0.01238,80.74885,ApproachEntry,Double,121.92940,419.57510,9.68672,260.49150,260.49150,0.00000,121.92940,9.68672,2.68672,0.00000,0.00000,0.15601,1.00000,6,6,1,0.54331,1.09241,0.04411,0.74940,0.75605,-0.02210,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-6.51046,36.33852,-37.25295,-30.09936,-57.18568,53.45214
0.33738,0.01321,75.68201,AlignAtEntry,Double,49.27027,49.27027,1.59434,208.11110,208.11110,0.00000,49.27027,1.59434,0.00000,0.00000,0.00000,1.00000,1.00000,6,6,1,0.60541,1.09105,0.05628,0.81196,0.74856,0.06220,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-4.00524,25.96888,-20.73782,-41.23462,-53.96082,53.18851
0.37228,0.01076,92.95940,InsertToTarget,Double,1.52796,1.44241,0.23985,160.75210,160.75210,0.00293,1.44425,0.23985,0.00000,0.00000,0.00000,0.99883,1.00000,6,6,1,0.62141,1.04664,0.05986,0.82035,0.69962,0.06144,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.63619,20.96491,-17.27029,-43.65624,-51.90748,54.80445
0.40645,0.01186,84.33820,InsertToTarget,Double,1.37279,0.55787,0.09065,159.99260,159.99260,0.00771,0.55977,0.09065,0.00000,0.00000,0.00000,0.99689,1.00000,6,6,1,0.62202,1.04613,0.05995,0.82064,0.69892,0.06056,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.61398,20.69733,-16.87686,-43.95681,-51.93810,55.21872
