time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.60266,0.01139,87.77647,InsertToTarget,Double,5.96842,0.05376,0.00000,155.27700,155.27700,0.03701,0.05472,0.00000,0.00000,0.00000,0.00000,0.98508,1.00000,6,6,1,0.62448,1.04210,0.05999,0.82296,0.69482,0.06005,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.53863,19.96672,-16.08196,-44.31517,-51.76199,55.56672
0.63607,0.01083,92.32563,InsertToTarget,Double,6.72251,0.05549,0.00000,154.52290,154.52290,0.04168,0.05661,0.00000,0.00000,0.00000,0.00000,0.98320,1.00000,6,6,1,0.62486,1.04145,0.05999,0.82333,0.69416,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.52741,19.86201,-15.97631,-44.35295,-51.72853,55.59099
0.67018,0.00890,112.31580,InsertToTarget,Double,7.49289,0.05925,0.00000,153.75250,153.75250,0.04646,0.06058,0.00000,0.00000,0.00000,0.00000,0.98127,1.00000,6,6,1,0.62524,1.04078,0.05999,0.82372,0.69349,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.51594,19.75473,-15.86785,-44.39211,-51.69389,55.61605
0.70307,0.01078,92.73772,InsertToTarget,Double,8.23519,0.05740,0.00000,153.01020,153.01020,0.05106,0.05882,0.00000,0.00000,0.00000,0.00000,0.97942,1.00000,6,6,1,0.62560,1.04013,0.05999,0.82408,0.69285,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.50491,19.65118,-15.76312,-44.43045,-51.66035,55.64134
0.73705,0.00870,114.89670,InsertToTarget,Double,9.00243,0.06138,0.00000,152.24300,152.24300,0.05582,0.06303,0.00000,0.00000,0.00000,0.00000,0.97750,1.00000,6,6,1,0.62599,1.03947,0.05999,0.82447,0.69218,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.49346,19.54344,-15.65362,-44.47123,-51.62509,55.66792
0.77268,0.00871,114.78640,InsertToTarget,Double,9.80686,0.06431,0.00000,151.43850,151.43850,0.06081,0.06619,0.00000,0.00000,0.00000,0.00000,0.97549,1.00000,6,6,1,0.62638,1.03877,0.05999,0.82486,0.69148,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.48148,19.43067,-15.53924,-44.51387,-51.58771,55.69562
0.80633,0.01055,94.81252,InsertToTarget,Double,10.56632,0.06249,0.00000,150.67900,150.67900,0.06552,0.06448,0.00000,0.00000,0.00000,0.00000,0.97359,1.00000,6,6,1,0.62676,1.03811,0.05999,0.82524,0.69083,0.06006,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.47016,19.32374,-15.43049,-44.55520,-51.55214,55.72330
0.84139,0.01102,90.75072,InsertToTarget,Double,11.35783,0.06518,0.00000,149.88750,149.88750,0.07043,0.06741,0.00000,0.00000,0.00000,0.00000,0.97161,1.00000,6,6,1,0.62715,1.03742,0.05999,0.82563,0.69014,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.45837,19.21217,-15.31696,-44.59856,-51.51447,55.75179
0.87774,0.01205,83.01875,InsertToTarget,Double,12.17858,0.06812,0.00000,149.06680,149.06680,0.07552,0.07064,0.00000,0.00000,0.00000,0.00000,0.96956,1.00000,6,6,1,0.62756,1.03671,0.05999,0.82604,0.68942,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.44616,19.09637,-15.19914,-44.64384,-51.47493,55.78145
0.91281,0.01283,77.91868,InsertToTarget,Double,12.97011,0.06891,0.00000,148.27530,148.27530,0.08043,0.07162,0.00000,0.00000,0.00000,0.00000,0.96758,1.00000,6,6,1,0.62795,1.03602,0.05999,0.82643,0.68874,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.43433,18.98370,-15.08381,-44.68953,-51.43628,55.81229
0.94655,0.01137,87.92194,InsertToTarget,Double,13.73196,0.06994,0.00000,147.51340,147.51340,0.08515,0.07285,0.00000,0.00000,0.00000,0.00000,0.96568,1.00000,6,6,1,0.62833,1.03536,0.05999,0.82681,0.68808,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.42288,18.87404,-14.97077,-44.73571,-51.39846,55.84409
0.98131,0.01066,93.84227,InsertToTarget,Double,14.51673,0.07194,0.00000,146.72870,146.72870,0.09002,0.07509,0.00000,0.00000,0.00000,0.00000,0.96371,1.00000,6,6,1,0.62872,1.03468,0.05999,0.82720,0.68740,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.41111,18.76114,-14.85448,-44.78341,-51.35897,55.87674
1.01448,0.01125,88.92138,InsertToTarget,Double,15.26537,0.07060,0.00000,145.98000,145.98000,0.09466,0.07387,0.00000,0.00000,0.00000,0.00000,0.96184,1.00000,6,6,1,0.62909,1.03403,0.05999,0.82757,0.68674,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.39987,18.65304,-14.74292,-44.82991,-51.32084,55.90915
1.04944,0.01337,74.79096,InsertToTarget,Double,16.05441,0.07144,0.00000,145.19090,145.19090,0.09956,0.07494,0.00000,0.00000,0.00000,0.00000,0.95987,1.00000,6,6,1,0.62948,1.03334,0.05998,0.82796,0.68606,0.06007,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.38808,18.53970,-14.62645,-44.87808,-51.28015,55.94199
1.08285,0.01151,86.87799,InsertToTarget,Double,16.80887,0.07329,0.00000,144.43650,144.43650,0.10423,0.07704,0.00000,0.00000,0.00000,0.00000,0.95798,1.00000,6,6,1,0.62985,1.03269,0.05999,0.82834,0.68540,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.37671,18.42961,-14.51214,-44.92736,-51.24040,55.97646
1.11589,0.00924,108.18680,InsertToTarget,Double,17.55475,0.07498,0.00000,143.69060,143.69060,0.10886,0.07896,0.00000,0.00000,0.00000,0.00000,0.95612,1.00000,6,6,1,0.63022,1.03204,0.05999,0.82871,0.68476,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.36545,18.32020,-14.39822,-44.97730,-51.20046,56.01167
1.14851,0.01190,84.05148,InsertToTarget,Double,18.29093,0.07170,0.00000,142.95440,142.95440,0.11342,0.07570,0.00000,0.00000,0.00000,0.00000,0.95428,1.00000,6,6,1,0.63059,1.03140,0.05999,0.82907,0.68412,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.35440,18.21293,-14.28713,-45.02577,-51.16076,56.04597
1.18053,0.01161,86.16032,InsertToTarget,Double,19.01382,0.07287,0.00000,142.23150,142.23150,0.11791,0.07708,0.00000,0.00000,0.00000,0.00000,0.95247,1.00000,6,6,1,0.63095,1.03077,0.05999,0.82943,0.68349,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.34354,18.10699,-14.17703,-45.07450,-51.12103,56.08020
1.21081,0.01096,91.21146,InsertToTarget,Double,19.69750,0.07196,0.00000,141.54780,141.54780,0.12215,0.07628,0.00000,0.00000,0.00000,0.00000,0.95076,1.00000,6,6,1,0.63129,1.03018,0.05999,0.82977,0.68290,0.06008,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.33321,18.00597,-14.07152,-45.12243,-51.08278,56.11451
