time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.08163,0.06163,16.22614,ApproachEntry,Double,757.29660,563.35420,91.75002,879.01250,879.01250,0.00000,757.29660,88.24998,81.24998,0.00000,0.00000,0.15601,1.00000,6,6,1,0.68060,1.22472,0.04515,1.01241,1.42840,0.13692,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.06301,25.75862,-27.00000,22.67546,25.33015,27.00000
0.11809,0.01658,60.32001,ApproachEntry,Double,867.58970,631.24340,109.19430,1004.13000,1004.13000,0.00000,867.58970,70.80575,63.80575,0.00000,0.00000,0.15601,1.00000,6,6,1,0.63719,1.26395,-0.02059,0.89675,1.56373,0.03194,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-0.03494,37.02235,-45.00000,40.67546,43.33015,45.00000
0.15405,0.00831,120.28200,ApproachEntry,Double,337.23760,353.65340,84.65863,481.03110,481.03110,0.00000,337.23760,84.65863,77.65863,0.00000,0.00000,0.15601,1.00000,6,6,1,0.47163,0.87118,0.02172,0.82006,1.02740,0.14088,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.11171,33.59185,-81.00000,59.90064,32.75466,68.99791
0.18508,0.01425,70.15472,ApproachEntry,Double,281.71920,497.78790,54.82785,437.53950,437.53950,0.00000,281.71920,54.82785,47.82785,0.00000,0.00000,0.15601,1.00000,6,6,1,0.37185,1.01671,0.00758,0.75976,0.97299,0.09484,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-13.49360,60.59185,-97.89794,32.90064,5.75466,41.99791
0.21696,0.01642,60.91936,ApproachEntry,Double,261.48080,510.63090,38.36301,413.04560,413.04560,0.00000,261.48080,38.36301,31.36301,0.00000,0.00000,0.15601,1.00000,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.10540,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791
0.25828,0.01470,68.04230,ApproachEntry,Double,112.21830,404.62180,15.80011,249.47080,249.47080,0.00000,112.21830,15.80011,8.80012,0.00000,0.00000,0.15601,1.00000,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181
0.29733,0.01340,74.63436,ApproachEntry,Double,122.28020,456.95480,2.63990,281.91690,281.91690,0.00000,122.28020,2.63990,0.00000,0.00000,0.00000,0.15601,1.00000,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934
0.33705,0.01530,65.37701,AlignAtEntry,Double,7.67819,7.67819,0.38410,168.45730,168.45730,0.00000,7.67819,0.38410,0.00000,0.00000,0.00000,1.00000,1.00000,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854
0.36936,0.01088,91.93001,InsertToTarget,Double,1.31212,1.07638,0.17583,160.50120,160.50120,0.00452,1.07850,0.17583,0.00000,0.00000,0.00000,0.99818,1.00000,6,6,1,0.62165,1.04649,0.05991,0.82043,0.69938,0.06108,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.62724,20.85389,-17.10022,-43.79307,-51.92693,54.98997
0.40213,0.00954,104.82840,InsertToTarget,Double,1.53181,0.40621,0.06561,159.76910,159.76910,0.00911,0.40785,0.06561,0.00000,0.00000,0.00000,0.99633,1.00000,6,6,1,0.62217,1.04595,0.05996,0.82075,0.69873,0.06041,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.60898,20.64099,-16.80087,-44.00899,-51.93710,55.28862
