time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.08272,0.06272,15.945,ApproachEntry,Double,757.2966,563.3542,91.75002,879.0125,879.0125,0.0,757.2966,88.24998,81.24998,0.0,0.0,0.15601,1.0,6,6,1,0.6806,1.22472,0.04515,1.01241,1.4284,0.13692,0.82,0.7,0.06,0.9,0.56,0.06,-3.06301,25.75862,-27.0,22.67546,25.33015,27.0,double_rcm_log_20260616_135653_209.csv,15.945,Unknown,Task3_Insertion,0.0,88.24938377497232,161.16989577843677,224.52491689327977,135.15787857204668,534.0151141177132,879.0172094447297,3723.324239738666,80962.33436275613,1523441.334045154,512.1374972187848,8467.199255410023
0.12586,0.01357,73.69798,ApproachEntry,Double,621.8845,419.9747,103.214,755.4592,755.4592,0.0,621.8845,76.78601,69.78601,0.0,0.0,0.15601,1.0,6,6,1,0.62532,1.04765,-0.00078,0.90847,1.31477,0.09126,0.82,0.7,0.06,0.9,0.56,0.06,-0.29867,28.02235,-54.0,49.67546,52.33015,54.0,double_rcm_log_20260616_135653_209.csv,73.69798,Unknown,Task3_Insertion,0.0,76.78477440615279,156.9750909705113,200.2805581127166,141.9732184348593,383.10229706156355,755.4645467525262,6474.002382520597,20765.395416666262,1830228.008368748,399.60809420840565,10204.889978085424
0.16352,0.00874,114.3967,ApproachEntry,Double,295.0907,398.7192,73.3195,442.4704,442.4704,0.0,295.0907,73.3195,66.3195,0.0,0.0,0.15601,1.0,6,6,1,0.42709,0.90308,0.01992,0.80121,0.98463,0.13558,0.82,0.7,0.06,0.9,0.56,0.06,-9.83033,42.59185,-90.0,50.90064,23.75466,59.99791,double_rcm_log_20260616_135653_209.csv,114.3967,Unknown,Task3_Insertion,0.0,73.31967533171677,154.46013908092806,192.54702661785672,150.3485401599968,145.98897356149376,442.47309228923734,4744.14125072603,69276.03856759325,569535.1502567858,451.4535482949191,9728.593016680163
0.20143,0.01469,68.08133,ApproachEntry,Double,289.5317,516.8494,47.32668,443.228,443.228,0.0,289.5317,47.32668,40.32668,0.0,0.0,0.15601,1.0,6,6,1,0.39551,1.07907,0.01425,0.77582,0.98412,0.09397,0.82,0.7,0.06,0.9,0.56,0.06,-13.1876,63.19907,-91.25295,23.90064,-3.24534,32.99791,double_rcm_log_20260616_135653_209.csv,68.08133,Unknown,Task3_Insertion,0.0,47.3278788928886,118.55461108853834,129.43838769467496,158.08112265350877,108.08119361778995,443.2295203390677,1773.1455890436841,34012.492938389354,1143597.5150257624,446.77235667325556,8727.652332099522
0.23189,0.01759,56.84106,ApproachEntry,Double,197.1768,475.8608,29.37979,348.5554,348.5554,0.0,197.1768,29.37979,22.37979,0.0,0.0,0.15601,1.0,6,6,1,0.47432,1.1061,0.01925,0.80776,0.89519,0.08507,0.82,0.7,0.06,0.9,0.56,0.06,-9.9695,56.52867,-73.25295,5.90064,-21.24534,22.80902,double_rcm_log_20260616_135653_209.csv,56.84106,Unknown,Task3_Insertion,0.0,29.379308505428813,79.10511481974311,81.77815167995135,152.91185953576908,89.78513024909077,348.55280604235566,3461.450036333264,11826.113330695014,938090.5174677904,461.80815791723427,7139.067104532396
0.27214,0.01482,67.46556,ApproachEntry,Double,122.2546,406.1482,13.12928,253.5262,253.5262,0.0,122.2546,13.12928,6.12928,0.0,0.0,0.15601,1.0,6,6,1,0.53828,1.07099,0.03463,0.77855,0.75963,-0.03835,0.82,0.7,0.06,0.9,0.56,0.06,-7.28198,39.80555,-46.25295,-21.09936,-48.24534,48.03878,double_rcm_log_20260616_135653_209.csv,67.46556,Unknown,Task3_Insertion,0.0,13.130223031484254,36.62926205122669,36.871041366813664,126.27735705163599,98.5582701053232,253.52507154125803,1220.7216325948325,44843.59384165072,375157.3192655029,451.0020992694476,3788.027949501419
0.31165,0.0119,84.0021,ApproachEntry,Double,133.3923,470.9592,0.24629,294.6201,294.6201,0.0,133.3923,0.24629,0.0,0.0,0.0,0.15601,1.0,6,6,1,0.55363,1.16208,0.05925,0.75245,0.815,0.05757,0.82,0.7,0.06,0.9,0.56,0.06,-5.47756,33.76888,-25.46525,-42.12599,-60.75683,56.63744,double_rcm_log_20260616_135653_209.csv,84.0021,Unknown,Task3_Insertion,0.0,0.24819823691003,0.6984919019708589,0.6984935403873401,178.75167552557627,2.906070569316215,294.62163430406804,1590.8272406430033,20065.089995610026,678205.9215492113,215.64468858152594,5546.008702132839
0.35039,0.00994,100.5913,InsertToTarget,Double,1.5101,1.48787,0.28324,160.9973,160.9973,0.00139,1.48876,0.28324,0.0,0.0,0.0,0.99945,1.0,6,6,1,0.62107,1.04673,0.05968,0.82023,0.69984,0.06148,0.82,0.7,0.06,0.9,0.56,0.06,-3.64951,21.1349,-17.54571,-43.42748,-51.87952,54.55731,double_rcm_log_20260616_135653_209.csv,100.5913,Unknown,Task3_Insertion,0.0,0.2829503807593102,0.7962923784903574,0.7962948059932855,80.32942217071775,1.4848822797162782,160.9989717358468,1600.6781481803484,23905.699514794254,562732.4044917689,88.77030753856737,2719.2603860706017
0.38346,0.01155,86.60862,InsertToTarget,Double,1.253,0.77355,0.12667,160.2628,160.2628,0.00602,0.77559,0.12667,0.0,0.0,0.0,0.99758,1.0,6,6,1,0.62184,1.04633,0.05993,0.82052,0.69917,0.06077,0.82,0.7,0.06,0.9,0.56,0.06,-3.6203,20.76966,-16.97628,-43.88734,-51.93662,55.12326,double_rcm_log_20260616_135653_209.csv,86.60862,Unknown,Task3_Insertion,0.0,0.12608102212064584,0.35482434684548425,0.35482456162818815,38.2330046182391,0.7710222983905133,160.26837554552043,27.314464049825663,27617.636901121994,279066.526455628,8.458225122833666,1493.9144449668709
0.42886,0.03293,30.36971,InsertToTarget,Double,2.04486,0.40947,0.06853,159.2427,159.2427,0.01238,0.41177,0.06853,0.0,0.0,0.0,0.99501,1.0,6,6,1,0.62241,1.04549,0.05995,0.821,0.69826,0.06041,0.82,0.7,0.06,0.9,0.56,0.06,-3.60188,20.57954,-16.74753,-44.01665,-51.91421,55.28542,double_rcm_log_20260616_135653_209.csv,30.36971,Unknown,Task3_Insertion,0.0,0.06930697730982117,0.19504772718296842,0.19504776286986214,11.547289798247862,0.4100300176628732,159.23880086210144,23.688407261238705,119.82387928809678,252869.6721713894,3.4723933323774667,55.04274117712186
