time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.08071,0.06071,16.47084,ApproachEntry,Double,757.2966,563.3542,91.75002,879.0125,879.0125,0.0,757.2966,88.24998,81.24998,0.0,0.0,0.15601,1.0,6,6,1,0.6806,1.22472,0.04515,1.01241,1.4284,0.13692,0.82,0.7,0.06,0.9,0.56,0.06,-3.06301,25.75862,-27.0,22.67546,25.33015,27.0,double_rcm_log_20260616_141325_268.csv,16.47084,Unknown,Task3_Insertion,0.0,88.24938377497232,161.16989577843677,224.52491689327977,135.15787857204668,534.0151141177132,879.0172094447297,3809.8720992012836,94804.71969541273,1750726.522290573,524.0420215848764,7570.714262422365
0.12287,0.01503,66.543,ApproachEntry,Double,621.8845,419.9747,103.214,755.4592,755.4592,0.0,621.8845,76.78601,69.78601,0.0,0.0,0.15601,1.0,6,6,1,0.62532,1.04765,-0.00078,0.90847,1.31477,0.09126,0.82,0.7,0.06,0.9,0.56,0.06,-0.29867,28.02235,-54.0,49.67546,52.33015,54.0,double_rcm_log_20260616_141325_268.csv,66.543,Unknown,Task3_Insertion,0.0,76.78477440615279,156.9750909705113,200.2805581127166,141.9732184348593,383.10229706156355,755.4645467525262,6932.214192837261,21541.262745162032,2775358.5528149204,433.5272215043964,12288.887243509913
0.15432,0.01017,98.34941,ApproachEntry,Double,337.2376,353.6534,84.65863,481.0311,481.0311,0.0,337.2376,84.65863,77.65863,0.0,0.0,0.15601,1.0,6,6,1,0.47163,0.87118,0.02172,0.82006,1.0274,0.14088,0.82,0.7,0.06,0.9,0.56,0.06,-7.11171,33.59185,-81.0,59.90064,32.75466,68.99791,double_rcm_log_20260616_141325_268.csv,98.34941,Unknown,Task3_Insertion,0.0,84.65919186962626,160.54513427263228,217.16319377645314,147.43864647529327,181.50459779724193,481.0350694076265,5915.456317082235,93649.23086872556,1407777.5131344874,499.53350563805617,13342.827871951993
0.18522,0.01215,82.30549,ApproachEntry,Double,281.7192,497.7879,54.82785,437.5395,437.5395,0.0,281.7192,54.82785,47.82785,0.0,0.0,0.15601,1.0,6,6,1,0.37185,1.01671,0.00758,0.75976,0.97299,0.09484,0.82,0.7,0.06,0.9,0.56,0.06,-13.4936,60.59185,-97.89794,32.90064,5.75466,41.99791,double_rcm_log_20260616_141325_268.csv,82.30549,Unknown,Task3_Insertion,0.0,54.827344349441326,131.80499957187513,148.47828801360274,161.33868046575876,90.14295846043682,437.54065331120944,1352.0478582258022,74942.80284582479,1733332.111560547,551.4540190534983,10134.98820476521
0.21524,0.01512,66.15903,ApproachEntry,Double,261.4808,510.6309,38.36301,413.0456,413.0456,0.0,261.4808,38.36301,31.36301,0.0,0.0,0.15601,1.0,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.1054,0.82,0.7,0.06,0.9,0.56,0.06,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791,double_rcm_log_20260616_141325_268.csv,66.15903,Unknown,Task3_Insertion,0.0,38.36357733529169,100.07671907697645,105.95950024876987,154.69524148067913,111.76757670066267,413.0495593751432,2436.4086567236363,19984.892857492527,1490789.0054155337,436.25133289117394,9966.863154872479
0.25789,0.01346,74.30196,ApproachEntry,Double,112.2183,404.6218,15.80011,249.4708,249.4708,0.0,112.2183,15.80011,8.80012,0.0,0.0,0.15601,1.0,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82,0.7,0.06,0.9,0.56,0.06,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181,double_rcm_log_20260616_141325_268.csv,74.30196,Unknown,Task3_Insertion,0.0,15.798777412493072,43.900559936223395,44.321126223610335,130.79310898799474,84.95482655732174,249.46933559056905,2043.311698298334,28341.328948801973,331869.2001381291,481.0638271159364,3266.017749902151
0.29951,0.01354,73.83302,ApproachEntry,Double,122.2802,456.9548,2.6399,281.9169,281.9169,0.0,122.2802,2.6399,0.0,0.0,0.0,0.15601,1.0,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82,0.7,0.06,0.9,0.56,0.06,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934,double_rcm_log_20260616_141325_268.csv,73.83302,Unknown,Task3_Insertion,0.0,2.6396516750405747,7.426035493600544,7.4280061506095745,167.6713142385658,26.108410934763114,281.91334023064604,1396.3261558554236,21224.904773037484,477863.51798265614,275.12262411819944,5557.388447228633
0.33833,0.01598,62.56489,AlignAtEntry,Double,7.67819,7.67819,0.3841,168.4573,168.4573,0.0,7.67819,0.3841,0.0,0.0,0.0,1.0,1.0,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82,0.7,0.06,0.9,0.56,0.06,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854,double_rcm_log_20260616_141325_268.csv,62.56489,Unknown,Task3_Insertion,0.0,0.38468493690653405,1.0825948572743724,1.0826009574651485,159.4717835627576,2.69330623241005,168.45946070197422,1498.308193637662,20283.457767336735,433234.3781175891,102.52458172376029,3343.522067520013
0.37162,0.01029,97.21974,InsertToTarget,Double,1.326,1.07776,0.17583,160.4792,160.4792,0.00466,1.07995,0.17583,0.0,0.0,0.0,0.99813,1.0,6,6,1,0.62166,1.04647,0.05991,0.82044,0.69936,0.06108,0.82,0.7,0.06,0.9,0.56,0.06,-3.62692,20.85099,-17.09741,-43.79392,-51.92591,54.99029,double_rcm_log_20260616_141325_268.csv,97.21974,Unknown,Task3_Insertion,0.0,0.1759699173750584,0.49522412000316457,0.4952247039105038,54.421184744441874,1.0819242117634724,160.47482544000474,138.2519784417554,22429.45113083489,276064.13176923135,16.090753354306024,1505.8379421856669
0.40584,0.01028,97.23495,InsertToTarget,Double,1.58534,0.40775,0.06561,159.7141,159.7141,0.00945,0.40945,0.06561,0.0,0.0,0.0,0.99619,1.0,6,6,1,0.6222,1.04591,0.05996,0.82078,0.69868,0.06041,0.82,0.7,0.06,0.9,0.56,0.06,-3.60821,20.6342,-16.79463,-44.0104,-51.93466,55.28884,double_rcm_log_20260616_141325_268.csv,97.23495,Unknown,Task3_Insertion,0.0,0.06756438358269837,0.19014362085061523,0.19014365390317256,14.9938189500569,0.41060742996012917,159.7126134655619,25.008230975491117,1618.2027796988255,315496.82368754974,4.060200381223871,189.45118207874862
0.43661,0.03077,32.5004,InsertToTarget,Double,2.24476,0.30297,0.04846,159.0215,159.0215,0.01376,0.30488,0.04846,0.0,0.0,0.0,0.99446,1.0,6,6,1,0.62255,1.04531,0.05996,0.82111,0.69807,0.0603,0.82,0.7,0.06,0.9,0.56,0.06,-3.59739,20.53071,-16.68459,-44.05713,-51.91056,55.3373,double_rcm_log_20260616_141325_268.csv,32.5004,Unknown,Task3_Insertion,0.0,0.05160140876294923,0.14521970201567153,0.1452197167448446,7.6757327590631155,0.3000640957170037,159.01901458630658,22.871096357241466,119.5565929870378,26166.180721883546,2.7211980830190683,21.917607283610085
0.467,0.00858,116.5741,InsertToTarget,Double,2.91141,0.14895,0.02798,158.3377,158.3377,0.01801,0.15017,0.02798,0.0,0.0,0.0,0.99274,1.0,6,6,1,0.62294,1.04475,0.05998,0.82145,0.69748,0.06015,0.82,0.7,0.06,0.9,0.56,0.06,-3.58498,20.40277,-16.53052,-44.14441,-51.89006,55.43587,double_rcm_log_20260616_141325_268.csv,116.5741,Unknown,Task3_Insertion,0.0,0.025859897226289875,0.07277644234049273,0.07277644419660013,2.958374146142242,0.15025107192758091,158.33785207586965,22.82618923896493,38.77025840891292,1302.4026593701637,2.846747898174451,8.17102024625089
0.50438,0.00827,120.9448,InsertToTarget,Double,3.74976,0.05461,0.0,157.4958,157.4958,0.02325,0.05521,0.0,0.0,0.0,0.0,0.99063,1.0,6,6,1,0.62338,1.04403,0.05999,0.82186,0.69674,0.06006,0.82,0.7,0.06,0.9,0.56,0.06,-3.57145,20.2712,-16.38669,-44.21054,-51.85845,55.50084,double_rcm_log_20260616_141325_268.csv,120.9448,Unknown,Task3_Insertion,0.0,0.010637613823265802,0.029936998747957876,0.029936998990537034,0.9166329368246386,0.0600512601545868,157.49187534599994,22.558959549621175,52.73202571206052,391.81827676462643,2.1127522369913576,15.61684760140479
0.53512,0.0108,92.5856,InsertToTarget,Double,4.44374,0.04875,0.0,156.8017,156.8017,0.02755,0.0494,0.0,0.0,0.0,0.0,0.98889,1.0,6,6,1,0.62373,1.04343,0.05999,0.8222,0.69614,0.06005,0.82,0.7,0.06,0.9,0.56,0.06,-3.56119,20.17611,-16.29161,-44.24298,-51.82874,55.52192,double_rcm_log_20260616_141325_268.csv,92.5856,Unknown,Task3_Insertion,0.0,0.008899289983294019,0.02504490555619322,0.025044905754776796,0.6479370698878932,0.050245550893732394,156.80223882330245,22.49992818359376,21.8415193174082,829.086804255551,1.909164469649137,4.868246145056816
0.56886,0.00874,114.4204,InsertToTarget,Double,5.20549,0.05437,0.0,156.04,156.04,0.03227,0.05521,0.0,0.0,0.0,0.0,0.98699,1.0,6,6,1,0.6241,1.04277,0.05999,0.82258,0.69548,0.06006,0.82,0.7,0.06,0.9,0.56,0.06,-3.5499,20.07137,-16.18661,-44.2791,-51.79545,55.54409,double_rcm_log_20260616_141325_268.csv,114.4204,Unknown,Task3_Insertion,0.0,0.010637613823265802,0.029936998747957876,0.029936998990537034,0.661068836688171,0.06005126015458969,156.0406690577812,22.551925165817888,1.5868688123117145,295.94831109560874,1.9112680622192189,0.35329641934303807
0.60266,0.01139,87.77647,InsertToTarget,Double,5.96842,0.05376,0.0,155.277,155.277,0.03701,0.05472,0.0,0.0,0.0,0.0,0.98508,1.0,6,6,1,0.62448,1.0421,0.05999,0.82296,0.69482,0.06005,0.82,0.7,0.06,0.9,0.56,0.06,-3.53863,19.96672,-16.08196,-44.31517,-51.76199,55.56672,double_rcm_log_20260616_141325_268.csv,87.77647,Unknown,Task3_Insertion,0.0,0.00959406876991737,0.027000192884659917,0.02700019311290759,0.480168947932331,0.05000000000000143,155.2790922822515,22.58941588206276,3.229574124054299,43.75311455053671,1.9277265125170548,0.7671402675466474
0.63607,0.01083,92.32563,InsertToTarget,Double,6.72251,0.05549,0.0,154.5229,154.5229,0.04168,0.05661,0.0,0.0,0.0,0.0,0.9832,1.0,6,6,1,0.62486,1.04145,0.05999,0.82333,0.69416,0.06006,0.82,0.7,0.06,0.9,0.56,0.06,-3.52741,19.86201,-15.97631,-44.35295,-51.72853,55.59099,double_rcm_log_20260616_141325_268.csv,92.32563,Unknown,Task3_Insertion,0.0,0.010289317216180384,0.028956801952935794,0.028956802158848258,0.5140759233723755,0.06031966129266037,154.5224841244794,22.686708005058115,1.3805207847038017,88.59464291900731,1.952470916340085,0.6250363113506469
0.67018,0.0089,112.3158,InsertToTarget,Double,7.49289,0.05925,0.0,153.7525,153.7525,0.04646,0.06058,0.0,0.0,0.0,0.0,0.98127,1.0,6,6,1,0.62524,1.04078,0.05999,0.82372,0.69349,0.06006,0.82,0.7,0.06,0.9,0.56,0.06,-3.51594,19.75473,-15.86785,-44.39211,-51.69389,55.61605,double_rcm_log_20260616_141325_268.csv,112.3158,Unknown,Task3_Insertion,0.0,0.010637613823265802,0.029936998747957876,0.029936998990537034,0.4584848462574034,0.060000000000004494,153.74726696757898,22.52258432341174,2.764181839970022,60.534546935968585,1.9613064355916028,0.46403447772999745
0.70307,0.01078,92.73772,InsertToTarget,Double,8.23519,0.0574,0.0,153.0102,153.0102,0.05106,0.05882,0.0,0.0,0.0,0.0,0.97942,1.0,6,6,1,0.6256,1.04013,0.05999,0.82408,0.69285,0.06006,0.82,0.7,0.06,0.9,0.56,0.06,-3.50491,19.65118,-15.76312,-44.43045,-51.66035,55.64134,double_rcm_log_20260616_141325_268.csv,92.73772,Unknown,Task3_Insertion,0.0,0.010895840424156499,0.030663715233807544,0.03066371543494428,0.41901610475547246,0.06020477875231508,153.012981475429,22.56573339204491,2.8415643982253274,36.126957418094314,1.9753467336301533,0.42563256326311677
