time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.08163,0.06163,16.22614,ApproachEntry,Double,757.2966,563.3542,91.75002,879.0125,879.0125,0.0,757.2966,88.24998,81.24998,0.0,0.0,0.15601,1.0,6,6,1,0.6806,1.22472,0.04515,1.01241,1.4284,0.13692,0.82,0.7,0.06,0.9,0.56,0.06,-3.06301,25.75862,-27.0,22.67546,25.33015,27.0,double_rcm_log_20260616_142105_174.csv,16.22614,Unknown,Task3_Insertion,0.0,88.24938377497232,161.16989577843677,224.52491689327977,135.15787857204668,534.0151141177132,879.0172094447297,5668.387539388303,270212.023470726,2868189.277940516,423.7262890013504,6049.744284305007
0.11809,0.01658,60.32001,ApproachEntry,Double,867.5897,631.2434,109.1943,1004.13,1004.13,0.0,867.5897,70.80575,63.80575,0.0,0.0,0.15601,1.0,6,6,1,0.63719,1.26395,-0.02059,0.89675,1.56373,0.03194,0.82,0.7,0.06,0.9,0.56,0.06,-0.03494,37.02235,-45.0,40.67546,43.33015,45.0,double_rcm_log_20260616_142105_174.csv,60.32001,Unknown,Task3_Insertion,0.0,70.80638193822533,152.28201980563202,186.82720455940222,145.13415388096857,495.96215647970627,1004.1274017772845,6255.094964891724,166063.02358509987,4979549.64276654,444.84277381753526,8621.432187646755
0.15405,0.00831,120.282,ApproachEntry,Double,337.2376,353.6534,84.65863,481.0311,481.0311,0.0,337.2376,84.65863,77.65863,0.0,0.0,0.15601,1.0,6,6,1,0.47163,0.87118,0.02172,0.82006,1.0274,0.14088,0.82,0.7,0.06,0.9,0.56,0.06,-7.11171,33.59185,-81.0,59.90064,32.75466,68.99791,double_rcm_log_20260616_142105_174.csv,120.282,Unknown,Task3_Insertion,0.0,84.65919186962626,160.54513427263228,217.16319377645314,147.43864647529327,181.50459779724193,481.0350694076265,8130.922473571127,95318.48356516227,3446306.22312965,452.4272621903437,12877.599525330525
0.18508,0.01425,70.15472,ApproachEntry,Double,281.7192,497.7879,54.82785,437.5395,437.5395,0.0,281.7192,54.82785,47.82785,0.0,0.0,0.15601,1.0,6,6,1,0.37185,1.01671,0.00758,0.75976,0.97299,0.09484,0.82,0.7,0.06,0.9,0.56,0.06,-13.4936,60.59185,-97.89794,32.90064,5.75466,41.99791,double_rcm_log_20260616_142105_174.csv,70.15472,Unknown,Task3_Insertion,0.0,54.827344349441326,131.80499957187513,148.47828801360274,161.33868046575876,90.14295846043682,437.54065331120944,1385.7951976856837,106541.41954206782,1637456.5638780561,542.817757946972,9865.95263397176
0.21696,0.01642,60.91936,ApproachEntry,Double,261.4808,510.6309,38.36301,413.0456,413.0456,0.0,261.4808,38.36301,31.36301,0.0,0.0,0.15601,1.0,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.1054,0.82,0.7,0.06,0.9,0.56,0.06,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791,double_rcm_log_20260616_142105_174.csv,60.91936,Unknown,Task3_Insertion,0.0,38.36357733529169,100.07671907697645,105.95950024876987,154.69524148067913,111.76757670066267,413.0495593751432,2583.2391370503433,17483.641155779413,1906369.1596263591,428.133324416812,9684.926119540225
0.25828,0.0147,68.0423,ApproachEntry,Double,112.2183,404.6218,15.80011,249.4708,249.4708,0.0,112.2183,15.80011,8.80012,0.0,0.0,0.15601,1.0,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82,0.7,0.06,0.9,0.56,0.06,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181,double_rcm_log_20260616_142105_174.csv,68.0423,Unknown,Task3_Insertion,0.0,15.798777412493072,43.900559936223395,44.321126223610335,130.79310898799474,84.95482655732174,249.46933559056905,2053.737427295175,33738.54166450025,363319.23122585344,504.1846214081015,3092.2715183380565
0.29733,0.0134,74.63436,ApproachEntry,Double,122.2802,456.9548,2.6399,281.9169,281.9169,0.0,122.2802,2.6399,0.0,0.0,0.0,0.15601,1.0,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82,0.7,0.06,0.9,0.56,0.06,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934,double_rcm_log_20260616_142105_174.csv,74.63436,Unknown,Task3_Insertion,0.0,2.6396516750405747,7.426035493600544,7.4280061506095745,167.6713142385658,26.108410934763114,281.91334023064604,1350.8925049663376,23741.25224218172,529936.9340070462,295.07756163296483,5975.573627664505
0.33705,0.0153,65.37701,AlignAtEntry,Double,7.67819,7.67819,0.3841,168.4573,168.4573,0.0,7.67819,0.3841,0.0,0.0,0.0,1.0,1.0,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82,0.7,0.06,0.9,0.56,0.06,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854,double_rcm_log_20260616_142105_174.csv,65.37701,Unknown,Task3_Insertion,0.0,0.38468493690653405,1.0825948572743724,1.0826009574651485,159.4717835627576,2.69330623241005,168.45946070197422,1435.5729113294335,20086.955391554424,422893.8670795102,98.61971372150298,3469.70085986211
0.36936,0.01088,91.93001,InsertToTarget,Double,1.31212,1.07638,0.17583,160.5012,160.5012,0.00452,1.0785,0.17583,0.0,0.0,0.0,0.99818,1.0,6,6,1,0.62165,1.04649,0.05991,0.82043,0.69938,0.06108,0.82,0.7,0.06,0.9,0.56,0.06,-3.62724,20.85389,-17.10022,-43.79307,-51.92693,54.98997,double_rcm_log_20260616_142105_174.csv,91.93001,Unknown,Task3_Insertion,0.0,0.17596991737298723,0.4952241199973358,0.4952247039105038,55.21279569475972,1.0819988625047423,160.49715168812185,140.94782046569523,22023.802374583745,284817.27633540845,16.49852705199059,1482.528407610544
0.40213,0.00954,104.8284,InsertToTarget,Double,1.53181,0.40621,0.06561,159.7691,159.7691,0.00911,0.40785,0.06561,0.0,0.0,0.0,0.99633,1.0,6,6,1,0.62217,1.04595,0.05996,0.82075,0.69873,0.06041,0.82,0.7,0.06,0.9,0.56,0.06,-3.60898,20.64099,-16.80087,-44.00899,-51.9371,55.28862,double_rcm_log_20260616_142105_174.csv,104.8284,Unknown,Task3_Insertion,0.0,0.06778228064531905,0.1907568391612837,0.19075687254033805,15.555942602250685,0.4105418558254652,159.77090942972058,25.30482921044575,1835.6681085935977,337916.55372467614,4.2537554842296075,211.92786802741176
