time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.07932,0.05932,16.85713,ApproachEntry,Double,757.2966,563.3542,91.75002,879.0125,879.0125,0.0,757.2966,88.24998,81.24998,0.0,0.0,0.15601,1.0,6,6,1,0.6806,1.22472,0.04515,1.01241,1.4284,0.13692,0.82,0.7,0.06,0.9,0.56,0.06,-3.06301,25.75862,-27.0,22.67546,25.33015,27.0,double_rcm_log_20260616_143043_160.csv,16.85713,Unknown,Task3_Insertion,0.0,88.24938377497232,161.16989577843677,224.52491689327977,135.15787857204668,534.0151141177132,879.0172094447297,4030.720394035786,73206.87607730483,1287930.8682356246,554.419363363071,8659.77665791737
0.11917,0.0109,91.7185,ApproachEntry,Double,621.8845,419.9747,103.214,755.4592,755.4592,0.0,621.8845,76.78601,69.78601,0.0,0.0,0.15601,1.0,6,6,1,0.62532,1.04765,-0.00078,0.90847,1.31477,0.09126,0.82,0.7,0.06,0.9,0.56,0.06,-0.29867,28.02235,-54.0,49.67546,52.33015,54.0,double_rcm_log_20260616_143043_160.csv,91.7185,Unknown,Task3_Insertion,0.0,76.78477440615279,156.9750909705113,200.2805581127166,141.9732184348593,383.10229706156355,755.4645467525262,6141.5267972567235,27679.623202397634,1493439.5504683421,402.11934429197856,9785.184228584962
0.1592,0.01013,98.76315,ApproachEntry,Double,295.0907,398.7192,73.3195,442.4704,442.4704,0.0,295.0907,73.3195,66.3195,0.0,0.0,0.15601,1.0,6,6,1,0.42709,0.90308,0.01992,0.80121,0.98463,0.13558,0.82,0.7,0.06,0.9,0.56,0.06,-9.83033,42.59185,-90.0,50.90064,23.75466,59.99791,double_rcm_log_20260616_143043_160.csv,98.76315,Unknown,Task3_Insertion,0.0,73.31967533171677,154.46013908092806,192.54702661785672,150.3485401599968,145.98897356149376,442.47309228923734,4683.306041025111,52764.93656420099,688100.3570103149,404.29365575586365,8688.02414403875
0.20415,0.01627,61.47632,ApproachEntry,Double,289.5317,516.8494,47.32668,443.228,443.228,0.0,289.5317,47.32668,40.32668,0.0,0.0,0.15601,1.0,6,6,1,0.39551,1.07907,0.01425,0.77582,0.98412,0.09397,0.82,0.7,0.06,0.9,0.56,0.06,-13.1876,63.19907,-91.25295,23.90064,-3.24534,32.99791,double_rcm_log_20260616_143043_160.csv,61.47632,Unknown,Task3_Insertion,0.0,47.3278788928886,118.55461108853834,129.43838769467496,158.08112265350877,108.08119361778995,443.2295203390677,2472.2755519954408,27051.310207434086,652608.1542155421,404.7998002549088,7021.5262225271645
0.246,0.01454,68.75287,ApproachEntry,Double,120.7187,424.8058,20.76968,271.2677,271.2677,0.0,120.7187,20.76968,13.76968,0.0,0.0,0.15601,1.0,6,6,1,0.50708,1.06985,0.02294,0.81578,0.81549,0.02511,0.82,0.7,0.06,0.9,0.56,0.06,-8.9175,49.22839,-64.25295,-3.09936,-30.24534,30.88181,double_rcm_log_20260616_143043_160.csv,68.75287,Unknown,Task3_Insertion,0.0,20.769792178121687,57.179797238979404,58.13205708091933,147.99251867107367,63.98465475889822,271.2664015317784,3086.032932383881,29475.588597249367,549049.6899818307,493.7602081511975,3939.370063462592
0.28667,0.01388,72.02462,ApproachEntry,Double,121.9294,419.5751,9.68672,260.4915,260.4915,0.0,121.9294,9.68672,2.68672,0.0,0.0,0.15601,1.0,6,6,1,0.54331,1.09241,0.04411,0.7494,0.75605,-0.0221,0.82,0.7,0.06,0.9,0.56,0.06,-6.51046,36.33852,-37.25295,-30.09936,-57.18568,53.45214,double_rcm_log_20260616_143043_160.csv,72.02462,Unknown,Task3_Insertion,0.0,9.686021036427631,27.12931731937757,27.226522440598085,133.34661020946277,88.66762916385244,260.49255747525683,1039.008639828254,39176.01259175852,627998.1103989028,356.20727770129554,5354.964204798619
0.32347,0.01203,83.10675,AlignAtEntry,Double,49.27027,49.27027,1.59434,208.1111,208.1111,0.0,49.27027,1.59434,0.0,0.0,0.0,1.0,1.0,6,6,1,0.60541,1.09105,0.05628,0.81196,0.74856,0.0622,0.82,0.7,0.06,0.9,0.56,0.06,-4.00524,25.96888,-20.73782,-41.23462,-53.96082,53.18851,double_rcm_log_20260616_143043_160.csv,83.10675,Unknown,Task3_Insertion,0.0,1.5930185179413063,4.48258889213401,4.483022074012461,159.50263440246624,17.252674976540817,208.11236195863037,1685.533858505158,15109.264783097302,769668.0157437478,159.69615458630892,4436.511293550577
0.35357,0.01208,82.79848,InsertToTarget,Double,1.51913,1.48781,0.28393,160.9492,160.9492,0.00169,1.48894,0.28393,0.0,0.0,0.0,0.99933,1.0,6,6,1,0.62109,1.04668,0.05968,0.82026,0.6998,0.06148,0.82,0.7,0.06,0.9,0.56,0.06,-3.64885,21.1293,-17.54088,-43.42824,-51.87745,54.55708,double_rcm_log_20260616_143043_160.csv,82.79848,Unknown,Task3_Insertion,0.0,0.2837636031282745,0.79858096875738,0.7985834172524199,78.48380774934205,1.4853976416590173,160.94936470828327,906.7582005102792,27453.230679752545,279562.98414492165,53.72684190888875,2541.93127839748
0.38972,0.01224,81.68236,InsertToTarget,Double,1.34974,0.77703,0.12667,160.145,160.145,0.00675,0.77934,0.12667,0.0,0.0,0.0,0.99728,1.0,6,6,1,0.62189,1.04623,0.05993,0.82058,0.69906,0.06078,0.82,0.7,0.06,0.9,0.56,0.06,-3.61863,20.75479,-16.96238,-43.89082,-51.93144,55.12411,double_rcm_log_20260616_143043_160.csv,81.68236,Unknown,Task3_Insertion,0.0,0.12760292983865465,0.3591073786248744,0.35910760126382074,35.27495679818004,0.78088706954631,160.14314971299896,25.62848198967969,11680.867472171081,380719.0336253043,6.86423957617018,672.1077975527137
0.42267,0.03295,30.35095,InsertToTarget,Double,1.92738,0.56318,0.09279,159.4038,159.4038,0.01137,0.56605,0.09279,0.0,0.0,0.0,0.99542,1.0,6,6,1,0.62229,1.0456,0.05994,0.82093,0.69841,0.06057,0.82,0.7,0.06,0.9,0.56,0.06,-3.60593,20.62709,-16.81455,-43.96803,-51.91236,55.21769,double_rcm_log_20260616_143043_160.csv,30.35095,Unknown,Task3_Insertion,0.0,0.09527486896231264,0.268128020263947,0.26812811294660016,17.203842766622483,0.570303562890991,159.40425935338106,23.86538889163333,80.97197279316535,175406.2449930311,3.5892126995658664,51.39859459523071
0.45494,0.00918,108.9597,InsertToTarget,Double,2.57742,0.24214,0.03956,158.6795,158.6795,0.01588,0.24386,0.03956,0.0,0.0,0.0,0.9936,1.0,6,6,1,0.62275,1.04503,0.05997,0.82128,0.69778,0.06024,0.82,0.7,0.06,0.9,0.56,0.06,-3.59111,20.46572,-16.60574,-44.10228,-51.89968,55.38635,double_rcm_log_20260616_143043_160.csv,108.9597,Unknown,Task3_Insertion,0.0,0.04068025894802567,0.11448476943260218,0.11448477667415825,5.355055153666952,0.24020504061835274,158.6827791538829,23.63404685854704,77.39247830963987,300.2329919507337,3.5502945265586674,17.683169831834373
0.49138,0.00858,116.6086,InsertToTarget,Double,3.38695,0.09188,0.01978,157.8595,157.8595,0.02099,0.09277,0.01978,0.0,0.0,0.0,0.99154,1.0,6,6,1,0.62319,1.04434,0.05999,0.82168,0.69706,0.06009,0.82,0.7,0.06,0.9,0.56,0.06,-3.57728,20.32783,-16.44849,-44.18264,-51.87201,55.47385,double_rcm_log_20260616_143043_160.csv,116.6086,Unknown,Task3_Insertion,0.0,0.015346247423807633,0.043188312218464114,0.04318831264866395,1.5224987238273562,0.0899999999999998,157.8590323674892,22.70383146503042,93.38459252777426,602.3889094858363,2.3966093326456925,25.107729465110946
0.52521,0.0089,112.3348,InsertToTarget,Double,4.14879,0.05232,0.0,157.0967,157.0967,0.02572,0.05295,0.0,0.0,0.0,0.0,0.98963,1.0,6,6,1,0.62358,1.04368,0.05999,0.82206,0.6964,0.06005,0.82,0.7,0.06,0.9,0.56,0.06,-3.56554,20.21652,-16.33206,-44.22955,-51.84101,55.5131,double_rcm_log_20260616_143043_160.csv,112.3348,Unknown,Task3_Insertion,0.0,0.009594068807905917,0.027000192991569524,0.02700019311290759,0.6915057860488288,0.05006150063825893,157.0974414177392,22.528859968022907,40.381159436980894,1186.0583715723362,1.996147982807609,9.901032226454333
0.56138,0.01135,88.11909,InsertToTarget,Double,4.96537,0.0542,0.0,156.2801,156.2801,0.03078,0.05501,0.0,0.0,0.0,0.0,0.98759,1.0,6,6,1,0.62398,1.04297,0.05999,0.82246,0.69569,0.06005,0.82,0.7,0.06,0.9,0.56,0.06,-3.55354,20.10574,-16.22214,-44.26589,-51.80552,55.53482,double_rcm_log_20260616_143043_160.csv,88.11909,Unknown,Task3_Insertion,0.0,0.009594068807905917,0.027000192991569524,0.02700019311290759,0.5779628079093037,0.050061500638252404,156.28253325307983,22.631396458444744,12.285272075016113,590.8045584678995,1.8917942339804914,1.5400959722924477
