metric,value,source_file,time,fps_est,mode,phase,stage,task_inferred
,526.0,double_rcm_log_20260616_003411_225_metrics.csv,0.0,,Unknown,Unknown,Unknown,Unknown
,15.09995,double_rcm_log_20260616_003411_225_metrics.csv,1.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_003411_225_metrics.csv,2.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_003411_225_metrics.csv,3.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_003411_225_metrics.csv,4.0,1.0,Unknown,Unknown,Unknown,Unknown
,154.1342,double_rcm_log_20260616_003411_225_metrics.csv,5.0,1.0,Unknown,Unknown,Unknown,Unknown
,154.1342,double_rcm_log_20260616_003411_225_metrics.csv,6.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,double_rcm_log_20260616_003411_225_metrics.csv,7.0,1.0,Unknown,Unknown,Unknown,Unknown
,526.0,double_rcm_log_20260616_003411_225_metrics.csv,8.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_003411_225_metrics.csv,9.0,1.0,Unknown,Unknown,Unknown,Unknown
,1.18515,double_rcm_log_20260616_003411_225_metrics.csv,10.0,1.0,Unknown,Unknown,Unknown,Unknown
,127.0934,double_rcm_log_20260616_003411_225_metrics.csv,11.0,1.0,Unknown,Unknown,Unknown,Unknown
,7.5390647868852465,double_rcm_log_20260616_003411_225_metrics.csv,12.0,1.0,Unknown,Unknown,Unknown,Unknown
,50.96061,double_rcm_log_20260616_003411_225_metrics.csv,13.0,1.0,Unknown,Unknown,Unknown,Unknown
,133.5765683934426,double_rcm_log_20260616_003411_225_metrics.csv,14.0,1.0,Unknown,Unknown,Unknown,Unknown
,2.26259,double_rcm_log_20260616_003411_225_metrics.csv,15.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_003411_225_metrics.csv,16.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_003411_225_metrics.csv,17.0,1.0,Unknown,Unknown,Unknown,Unknown
