time,mode,phase,solveIK,lambda,lambda0,insertion_progress,tip_entry_error_mm,tip_target_error_mm,rcm_error_mm,weighted_error,skull_violation_mm,arm_skull_violation_mm,entry_axis_error_deg,entry_cone_violation_deg,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,entry_rcm_error_mm,target_rcm_or_tip_error_mm,stage,valid_post_insertion_context,raw_needle_skull_penetration_mm,intentional_needle_inside_skull,unsafe_needle_skull_violation_mm,source_file,fps_est,task_inferred,total_skull_violation_mm,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.6571,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,199.79,148.869,124.16,1.151295,0.0,0.0,15.001,0.0,-0.094,-18.719,53.938,-0.367,-90.408,0.873,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,31.74603174603166,Task3_Insertion,0.0,33.10245903785845,66.9149628610813
0.6877,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,185.47,134.912,113.228,1.068791,0.0,0.0,14.153,0.0,-0.099,-18.213,54.011,-0.373,-92.752,0.89,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,32.67973856209154,Task3_Insertion,0.0,31.836241074876778,57.37052422730839
0.7416,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,160.257,112.628,95.403,0.923557,0.0,0.0,13.115,0.0,-0.11,-17.268,54.058,-0.384,-96.807,0.918,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,18.55287569573282,Task3_Insertion,0.0,27.486250666047074,121.05820983349577
0.7951999999999999,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,141.067,101.847,85.86,0.820315,0.0,0.0,12.964,0.0,-0.101,-16.533,54.305,-0.456,-99.791,0.81,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,18.65671641791049,Task3_Insertion,0.0,19.874595839539108,122.3788072428668
0.8482999999999998,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,127.631,103.541,85.741,0.747938,0.0,0.0,13.453,0.0,-0.053,-16.057,55.032,-0.647,-101.742,0.441,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,18.832391713747672,Task3_Insertion,0.0,16.668371660399472,45.409521971406484
0.8977999999999999,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,115.09,106.807,87.418,0.678237,0.0,0.0,13.948,0.0,-0.002,-15.586,55.671,-0.821,-103.55,0.088,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.20202020202016,Task3_Insertion,0.0,15.698912391505962,25.442050516046326
0.95,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,103.159,110.757,90.155,0.610574,0.0,0.0,14.403,0.0,0.045,-15.109,56.193,-0.966,-105.264,-0.219,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.157088122605355,Task3_Insertion,0.0,14.421561215246866,31.905508195789608
1.0011,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,91.782,115.107,93.648,0.544213,0.0,0.0,14.8,0.0,0.086,-14.627,56.606,-1.079,-106.89,-0.464,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.56947162426609,Task3_Insertion,0.0,12.832690189373857,26.511007610734307
1.0604,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,80.908,119.35,97.393,0.480034,0.0,0.0,15.114,0.0,0.115,-14.145,56.897,-1.15,-108.432,-0.622,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,16.863406408094463,Task3_Insertion,0.0,12.58724221434696,73.31802586730925
1.1062999999999998,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,70.634,123.321,101.148,0.418921,0.0,0.0,15.343,0.0,0.131,-13.674,57.076,-1.18,-109.868,-0.688,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,21.78649237472775,Task3_Insertion,0.0,7.187298347599909,154.39444585965492
1.1384,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,69.368,126.471,104.566,0.405269,0.0,0.0,15.284,0.0,0.131,-13.442,57.099,-1.17,-110.0,-0.665,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,31.15264797507765,Task3_Insertion,0.0,3.235106854709615,110.0103089875123
1.1711,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,69.05,129.018,107.628,0.400212,0.0,0.0,15.123,0.0,0.12,-13.199,57.015,-1.128,-110.0,-0.569,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,30.58103975535173,Task3_Insertion,0.0,4.317140328065152,52.52931867214941
1.2218,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.554,132.349,112.195,0.396279,0.0,0.0,14.717,0.0,0.081,-12.689,56.626,-1.003,-110.0,-0.282,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,19.723865877712043,Task3_Insertion,0.0,6.129410215274903,27.623010152365023
1.2707,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.326,135.147,116.046,0.394901,0.0,0.0,14.373,0.0,0.045,-12.165,56.121,-0.891,-110.0,-0.025,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.449897750511273,Task3_Insertion,0.0,6.623628438778207,16.076539915027098
1.3196,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.294,137.825,119.556,0.394675,0.0,0.0,14.117,0.0,0.016,-11.632,55.554,-0.805,-110.0,0.174,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.449897750511177,Task3_Insertion,0.0,6.925151704109461,12.850023967852927
1.3678,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.351,140.319,122.732,0.394965,0.0,0.0,13.932,0.0,-0.007,-11.093,54.933,-0.739,-110.0,0.328,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.746887966805065,Task3_Insertion,0.0,7.1706623163444565,10.499522340006859
1.417,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.419,142.596,125.588,0.395331,0.0,0.0,13.802,0.0,-0.027,-10.549,54.264,-0.687,-110.0,0.448,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.325203252032466,Task3_Insertion,0.0,7.4435082288819565,9.022493890553818
1.4651999999999998,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.444,144.642,128.141,0.395461,0.0,0.0,13.718,0.0,-0.042,-10.002,53.553,-0.647,-110.0,0.542,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,20.746887966805065,Task3_Insertion,0.0,7.706589634689908,7.22959784616858
