source_file,task_inferred,mode,phase,samples,duration_s,entry_rcm_error_mm_mean,entry_rcm_error_mm_max,entry_rcm_error_mm_p95,target_rcm_or_tip_error_mm_mean,target_rcm_or_tip_error_mm_max,target_rcm_or_tip_error_mm_p95,final_target_tip_error_mm_mean,final_target_tip_error_mm_max,final_target_tip_error_mm_p95,total_skull_violation_mm_mean,total_skull_violation_mm_max,total_skull_violation_mm_p95,fps_est_mean,fps_est_max,fps_est_p95,cone_t2_angle_deg_geom_mean,cone_t2_angle_deg_geom_max,cone_t2_angle_deg_geom_p95,cone_t4_angle_deg_geom_mean,cone_t4_angle_deg_geom_max,cone_t4_angle_deg_geom_p95
double_rcm_log_20260616_135224_890.csv,Task2_TargetRCM_EntryCone,Target,Done,850,28.09149,12.149416223529412,14.88449,14.849396,0.1946073294117647,0.53763,0.5321985,0.1946073294117647,0.53763,0.5321985,0.0,0.0,0.0,93.47530862352941,180.5368,104.918995,4.292037459529322,5.2927808243378,5.28027134232729,0.06277050639251855,0.17283354692052927,0.17283354692052927
double_rcm_log_20260616_135224_890.csv,Task3_Insertion,Double,ApproachEntry,3,0.07929,407.95853333333326,494.0802,486.98834999999997,412.4002666666667,545.8825,534.3175,412.4002666666667,545.8825,534.3175,0.0,0.0,0.0,60.492380000000004,106.7856,102.007902,49.629132070091366,85.81519808669682,82.70214913773503,146.45880331461072,161.81708508091413,159.7685431862599
double_rcm_log_20260616_135224_890.csv,Task3_Insertion,Double,Done,160,5.200209999999999,1.0095600000000002,1.00956,1.00956,2.18038,2.18038,2.18038,2.18038,2.18038,2.18038,0.0,0.0,0.0,94.1000296875,134.6126,106.18936499999998,1.024809438975133,1.024809438975133,1.024809438975133,0.6770055270843249,0.6770055270843249,0.6770055270843249
double_rcm_log_20260616_135224_890.csv,Task3_Insertion,Double,InsertToTarget,211,7.1113,0.19474933649289103,0.9957,0.592175,80.38456777251186,160.9537,152.0331,80.38456777251186,160.9537,152.0331,0.0,0.0,0.0,93.08683132701421,154.1609,112.07679999999999,0.0762822738587958,0.9919426825043445,0.4426632435293263,0.7353483823327475,70.27327697452483,0.5544638093912007
double_rcm_log_20260616_135224_890.csv,Task4_EntryRCM_TipCone,EntryTipCone,Done,661,21.61951,0.9928296822995463,2.43148,2.41039,8.077046792738274,9.87131,9.84386,8.077046792738274,9.87131,9.84386,0.0,0.0,0.0,93.90949505295008,170.0565,107.0395,2.831425406956657,3.5614414787113478,3.548884397229955,2.763420851305658,3.5098706690140635,3.498105364574899
double_rcm_log_20260616_135653_209.csv,Task3_Insertion,Double,ApproachEntry,7,0.22892999999999997,464.5522428571429,563.3542,549.40276,488.1245428571429,879.0125,841.94651,488.1245428571429,879.0125,841.94651,0.0,0.0,0.0,68.63281857142856,114.3967,105.27831999999998,46.9199203113648,88.24938377497232,84.81000096432645,149.07166456191325,178.75167552557627,172.550509663956
double_rcm_log_20260616_135653_209.csv,Task3_Insertion,Double,Done,69,2.2315199999999997,1.0053099999999995,1.00531,1.00531,2.1861800000000002,2.18618,2.18618,2.1861800000000002,2.18618,2.18618,0.0,0.0,0.0,92.02158231884059,185.5446,107.11343999999998,1.0256828703342256,1.0256828703342258,1.0256828703342258,0.6792412917595029,0.6792412917595028,0.6792412917595028
double_rcm_log_20260616_135653_209.csv,Task3_Insertion,Double,InsertToTarget,209,7.11476,0.19828339712918663,1.48787,0.5954199999999998,79.95511301435407,160.9973,152.65789999999998,79.95511301435407,160.9973,152.65789999999998,0.0,0.0,0.0,93.95731483253587,145.3176,109.60992,0.077378236844323,0.9925261072871032,0.44755637755009947,0.8228408685293487,80.32942217071775,0.5246406722097353
double_rcm_log_20260616_135653_209.csv,Task4_EntryRCM_TipCone,EntryTipCone,Done,1134,38.32972,1.1321878218694885,3.0826,3.0523445,11.17557217813051,13.34275,13.3047245,11.17557217813051,13.34275,13.3047245,0.0,0.0,0.0,92.64582280423281,197.9928,108.55484999999999,3.8560903221242566,4.781020726145706,4.761300049286995,3.8625306814253606,4.7470102131400065,4.7315683946692575
double_rcm_log_20260616_140158_025.csv,Task2_TargetRCM_EntryCone,Target,Done,659,21.56129,12.242203581183613,14.88914,14.859773,0.18958312594840668,0.53756,0.5320750000000001,0.18958312594840668,0.53756,0.5320750000000001,0.0,0.0,0.0,93.01349248861912,162.6657,105.76297,4.327624774623845,5.290236561442552,5.280281019031759,0.06110758510762702,0.17283354692052927,0.17283354692052927
