time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.0715,0.0515,19.41629,ApproachEntry,Double,757.2966,563.3542,91.75002,879.0125,879.0125,0.0,757.2966,88.24998,81.24998,0.0,0.0,0.15601,1.0,6,6,1,0.6806,1.22472,0.04515,1.01241,1.4284,0.13692,0.82,0.7,0.06,0.9,0.56,0.06,-3.06301,25.75862,-27.0,22.67546,25.33015,27.0,double_rcm_log_20260616_141822_422.csv,19.41629,Unknown,Task3_Insertion,0.0,88.24938377497232,161.16989577843677,224.52491689327977,135.15787857204668,534.0151141177132,879.0172094447297,6474.605566607066,292572.69128346187,2527709.8413545284,483.99312333926184,6541.509529380057
0.10342,0.01076,92.9017,ApproachEntry,Double,867.5897,631.2434,109.1943,1004.13,1004.13,0.0,867.5897,70.80575,63.80575,0.0,0.0,0.15601,1.0,6,6,1,0.63719,1.26395,-0.02059,0.89675,1.56373,0.03194,0.82,0.7,0.06,0.9,0.56,0.06,-0.03494,37.02235,-45.0,40.67546,43.33015,45.0,double_rcm_log_20260616_141822_422.csv,92.9017,Unknown,Task3_Insertion,0.0,70.80638193822533,152.28201980563202,186.82720455940222,145.13415388096857,495.96215647970627,1004.1274017772845,5456.81049850095,212884.35111429135,4217540.584974861,465.0383592245523,7245.519287381673
0.1399,0.00885,113.0213,ApproachEntry,Double,337.2376,353.6534,84.65863,481.0311,481.0311,0.0,337.2376,84.65863,77.65863,0.0,0.0,0.15601,1.0,6,6,1,0.47163,0.87118,0.02172,0.82006,1.0274,0.14088,0.82,0.7,0.06,0.9,0.56,0.06,-7.11171,33.59185,-81.0,59.90064,32.75466,68.99791,double_rcm_log_20260616_141822_422.csv,113.0213,Unknown,Task3_Insertion,0.0,84.65919186962626,160.54513427263228,217.16319377645314,147.43864647529327,181.50459779724193,481.0350694076265,8921.90870728902,39547.75469346531,3814412.7113519423,359.9532586359843,9882.803677925564
0.18496,0.01795,55.70015,ApproachEntry,Double,281.7192,497.7879,54.82785,437.5395,437.5395,0.0,281.7192,54.82785,47.82785,0.0,0.0,0.15601,1.0,6,6,1,0.37185,1.01671,0.00758,0.75976,0.97299,0.09484,0.82,0.7,0.06,0.9,0.56,0.06,-13.4936,60.59185,-97.89794,32.90064,5.75466,41.99791,double_rcm_log_20260616_141822_422.csv,55.70015,Unknown,Task3_Insertion,0.0,54.827344349441326,131.80499957187513,148.47828801360274,161.33868046575876,90.14295846043682,437.54065331120944,846.2852983035972,63564.7626774641,1082926.9040720058,418.5879292487235,7640.642988893006
0.2181,0.017,58.84035,ApproachEntry,Double,261.4808,510.6309,38.36301,413.0456,413.0456,0.0,261.4808,38.36301,31.36301,0.0,0.0,0.15601,1.0,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.1054,0.82,0.7,0.06,0.9,0.56,0.06,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791,double_rcm_log_20260616_141822_422.csv,58.84035,Unknown,Task3_Insertion,0.0,38.36357733529169,100.07671907697645,105.95950024876987,154.69524148067913,111.76757670066267,413.0495593751432,2712.946988204311,25011.325351654894,1164087.805500635,426.5411571521182,7459.660078186802
0.2583,0.01451,68.90191,ApproachEntry,Double,112.2183,404.6218,15.80011,249.4708,249.4708,0.0,112.2183,15.80011,8.80012,0.0,0.0,0.15601,1.0,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82,0.7,0.06,0.9,0.56,0.06,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181,double_rcm_log_20260616_141822_422.csv,68.90191,Unknown,Task3_Insertion,0.0,15.798777412493072,43.900559936223395,44.321126223610335,130.79310898799474,84.95482655732174,249.46933559056905,2261.6844960214617,33801.86208238906,589851.3226181513,498.84378833134514,2942.756216572451
0.2996,0.01309,76.39282,ApproachEntry,Double,122.2802,456.9548,2.6399,281.9169,281.9169,0.0,122.2802,2.6399,0.0,0.0,0.0,0.15601,1.0,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82,0.7,0.06,0.9,0.56,0.06,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934,double_rcm_log_20260616_141822_422.csv,76.39282,Unknown,Task3_Insertion,0.0,2.6396516750405747,7.426035493600544,7.4280061506095745,167.6713142385658,26.108410934763114,281.91334023064604,1245.6816117586145,24140.877673362,459497.3430240308,279.8020861161155,5543.456006264646
0.34271,0.01694,59.02183,AlignAtEntry,Double,7.67819,7.67819,0.3841,168.4573,168.4573,0.0,7.67819,0.3841,0.0,0.0,0.0,1.0,1.0,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82,0.7,0.06,0.9,0.56,0.06,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854,double_rcm_log_20260616_141822_422.csv,59.02183,Unknown,Task3_Insertion,0.0,0.38468493690653405,1.0825948572743724,1.0826009574651485,159.4717835627576,2.69330623241005,168.45946070197422,1287.1507906674328,18380.939735171287,323558.87866514426,88.98480804258469,3003.3444762785653
0.37526,0.01112,89.95015,InsertToTarget,Double,1.31529,1.07643,0.17583,160.4958,160.4958,0.00456,1.07857,0.17583,0.0,0.0,0.0,0.99817,1.0,6,6,1,0.62165,1.04649,0.05991,0.82043,0.69938,0.06108,0.82,0.7,0.06,0.9,0.56,0.06,-3.62717,20.8533,-17.09972,-43.79307,-51.92671,54.98988,double_rcm_log_20260616_141822_422.csv,89.95015,Unknown,Task3_Insertion,0.0,0.17596991737298723,0.4952241199973358,0.4952247039105038,55.21279569475972,1.0819988625047423,160.49715168812185,139.9479554951098,19549.008976605714,257625.02512880694,16.3753292045176,1321.5910815002696
0.4082,0.01097,91.1926,InsertToTarget,Double,1.54078,0.40582,0.06256,159.7598,159.7598,0.00917,0.40746,0.06256,0.0,0.0,0.0,0.99631,1.0,6,6,1,0.62217,1.04595,0.05996,0.82075,0.69872,0.06041,0.82,0.7,0.06,0.9,0.56,0.06,-3.60887,20.64017,-16.80039,-44.00861,-51.93679,55.28811,double_rcm_log_20260616_141822_422.csv,91.1926,Unknown,Task3_Insertion,0.0,0.06756438358269837,0.19014362085061523,0.19014365390317256,15.461199531931666,0.4103169506613176,159.7622264491829,25.33467550303504,1800.844727639617,297228.41383856436,4.2292844908484035,208.25700915121564
