log_file,task,mode,phase,samples,duration_s,tip_target_error_mm_mean,tip_target_error_mm_median,tip_target_error_mm_p95,tip_target_error_mm_max,tip_target_error_mm_final,entry_rcm_error_mm_mean,entry_rcm_error_mm_median,entry_rcm_error_mm_p95,entry_rcm_error_mm_max,entry_rcm_error_mm_final,target_rcm_error_mm_mean,target_rcm_error_mm_median,target_rcm_error_mm_p95,target_rcm_error_mm_max,target_rcm_error_mm_final,task2_entry_cone_error_mm_mean,task2_entry_cone_error_mm_median,task2_entry_cone_error_mm_p95,task2_entry_cone_error_mm_max,task2_entry_cone_error_mm_final,task4_tip_cone_error_mm_mean,task4_tip_cone_error_mm_median,task4_tip_cone_error_mm_p95,task4_tip_cone_error_mm_max,task4_tip_cone_error_mm_final,active_task_error_mm_mean,active_task_error_mm_median,active_task_error_mm_p95,active_task_error_mm_max,active_task_error_mm_final,tip_line_distance_mm_mean,tip_line_distance_mm_median,tip_line_distance_mm_p95,tip_line_distance_mm_max,tip_line_distance_mm_final,shaft_line_max_distance_mm_mean,shaft_line_max_distance_mm_median,shaft_line_max_distance_mm_p95,shaft_line_max_distance_mm_max,shaft_line_max_distance_mm_final,skull_violation_mm_mean,skull_violation_mm_median,skull_violation_mm_p95,skull_violation_mm_max,skull_violation_mm_final
project4_multircm_20260619_215005_206.csv,T2_target_rcm_entry_cone,TargetRCM_EntryCone,Done,945,58.5975,5.637519576719577,3.495,14.1548,14.627,0.643,278.78194074074077,278.775,279.4298,279.462,278.822,7.325476190476191,5.049,14.7054,15.147,4.087,10.450619047619046,6.563,25.218799999999998,25.999,1.128,30.999382010582007,32.548,35.728199999999994,37.335,35.004,10.450619047619046,6.563,25.218799999999998,25.999,1.128,5.588933333333332,3.487,14.0968,14.568,0.476,438.6186349206349,438.602,439.611,439.659,438.908,0.0,0.0,0.0,0.0,0.0
project4_multircm_20260619_215005_206.csv,T3_safe_insertion,InsertionSequence,ApproachEntry,40,2.2824,332.59115,329.98699999999997,377.47569999999996,398.907,377.123,212.987775,173.8425,439.0136,476.207,100.653,334.005225,331.00350000000003,380.51125,397.387,380.391,266.533525,252.7475,362.16679999999997,366.854,366.854,330.61454999999995,327.378,377.4249,391.926,378.259,332.59115,329.98699999999997,377.47569999999996,398.907,377.123,194.0354,170.5735,371.61879999999996,398.564,97.798,619.5496999999999,626.0765,794.07895,799.18,799.18,0.0,0.0,0.0,0.0,0.0
project4_multircm_20260619_215005_206.csv,T3_safe_insertion,InsertionSequence,Done,38,2.2064999999999984,4.291473684210526,2.8985,11.201849999999999,13.792,1.421,0.3116578947368421,0.307,0.44815,0.451,0.164,282.839052631579,282.84,282.842,282.842,282.842,23.04878947368421,22.618000000000002,25.12785,26.378,22.43,34.7075,34.4285,36.02785,36.945,34.44,4.291473684210526,2.8985,11.201849999999999,13.792,1.421,2.120868421052632,2.231,2.5873,2.592,1.328,440.58318421052644,438.95899999999995,448.09145,450.76,437.662,0.0,0.0,0.0,0.0,0.0
project4_multircm_20260619_215005_206.csv,T3_safe_insertion,InsertionSequence,InsertToTarget,173,10.064900000000002,156.15923121387286,157.535,279.1874,288.476,15.191,0.4458034682080925,0.187,0.5510000000000018,9.235,0.423,283.1130982658959,282.836,283.1886,292.074,282.835,158.61253757225435,158.827,280.6076,289.959,27.132,161.49604046242771,160.795,281.347,290.559,37.509,156.15923121387286,157.535,279.1874,288.476,15.191,1.7618497109826587,1.803,2.7626,5.645,2.134,593.2849537572254,594.642,716.3388,725.62,452.19,0.0,0.0,0.0,0.0,0.0
project4_multircm_20260619_215005_206.csv,T3_safe_insertion,InsertionSequence,PierceEntry,106,6.221,340.3606981132075,341.392,380.7025,381.281,289.384,61.87402830188678,62.9905,102.95775,103.579,10.142,343.8292547169811,344.875,384.00675,384.59,292.982,338.2684245283018,340.572,372.46125,373.068,290.882,341.4403867924528,342.0875,381.68975,382.302,291.462,340.3606981132075,341.392,380.7025,381.281,289.384,58.57353773584906,59.7095,99.9725,100.555,6.55,772.4155660377359,774.5215000000001,805.5815,806.148,726.527,0.0,0.0,0.0,0.0,0.0
project4_multircm_20260619_215005_206.csv,T4_entry_rcm_tip_cone,EntryRCM_TipConeAroundTarget,Done,664,40.343599999999995,33.72533885542169,33.8695,37.14475,37.274,31.762,1.0209382530120483,0.753,2.1741,13.781,1.773,282.8565798192771,282.859,283.00185,283.933,282.798,22.482296686746988,22.3615,23.91665,24.084,22.354,5.519109939759036,4.538,10.13665,29.882,15.596,5.519109939759036,4.538,10.13665,29.882,15.596,33.71837198795181,33.861999999999995,37.116,37.253,31.762,435.26089608433733,435.3005,436.58785,437.341,435.085,0.0,0.0,0.0,0.0,0.0
