time,mode,phase,solveIK,lambda,lambda0,insertion_progress,tip_entry_error_mm,tip_target_error_mm,rcm_error_mm,weighted_error,skull_violation_mm,arm_skull_violation_mm,entry_axis_error_deg,entry_cone_violation_deg,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.1526,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110935_960_8218.csv,,Unknown,Task3_Insertion,0.0,0.0,5.402468675040949e-13
0.1898,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110935_960_8218.csv,26.88172043010754,Unknown,Task3_Insertion,0.0,2.0097183471152322e-14,1.0068397286112039e-13
0.2363,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110935_960_8218.csv,21.505376344086017,Unknown,Task3_Insertion,0.0,1.160311428702309e-14,4.683430759901549e-13
0.274,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110935_960_8218.csv,26.525198938992034,Unknown,Task3_Insertion,0.0,2.320622857404618e-14,1.4413691278740185e-12
0.3069,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110935_960_8218.csv,30.395136778115514,Unknown,Task3_Insertion,0.0,8.122180000916163e-14,545.1120244263589
0.3474,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110935_960_8218.csv,24.691358024691368,Unknown,Task3_Insertion,0.0,49.25393662651168,1165.7770374308627
0.4061,InsertionSequence,ApproachEntry,1,0.6542,0.65,0.0,490.417,477.099,371.44,2.826977,0.0,0.0,50.408,0.0,-0.009,-21.008,35.33,-0.096,-28.31,0.134,paper_rcm_log_20260616_110935_960_8218.csv,17.035775127768304,Unknown,Task3_Insertion,0.0,113.46432940785584,454.3615430423904
0.4673,InsertionSequence,ApproachEntry,1,0.65006,0.65,0.0,439.935,417.136,326.344,2.535774,0.0,0.0,42.428,0.0,-0.021,-22.517,42.591,-0.183,-42.441,0.307,paper_rcm_log_20260616_110935_960_8218.csv,16.339869281045758,Unknown,Task3_Insertion,0.0,98.91503486280776,319.87470280411947
0.5272,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,387.331,356.104,281.094,2.232404,0.0,0.0,35.023,0.0,-0.035,-22.782,47.498,-0.246,-54.999,0.474,paper_rcm_log_20260616_110935_960_8218.csv,16.694490818030047,Unknown,Task3_Insertion,0.0,83.45249630356717,363.930776162856
0.5572,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,361.673,326.688,259.132,2.084446,0.0,0.0,31.672,0.0,-0.042,-22.6,49.222,-0.27,-60.564,0.548,paper_rcm_log_20260616_110935_960_8218.csv,33.33333333333331,Unknown,Task3_Insertion,0.0,72.4396914787629,359.49589290064114
0.5904,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,336.926,298.512,238.018,1.941758,0.0,0.0,28.59,0.0,-0.049,-22.278,50.561,-0.289,-65.656,0.614,paper_rcm_log_20260616_110935_960_8218.csv,30.120481927710838,Unknown,Task3_Insertion,0.0,62.35358517573771,249.54474905258684
0.6229,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,313.316,271.824,217.946,1.805636,0.0,0.0,25.788,0.0,-0.056,-21.86,51.586,-0.306,-70.296,0.671,paper_rcm_log_20260616_110935_960_8218.csv,30.769230769230795,Unknown,Task3_Insertion,0.0,57.22185717281482,156.92157774885558
0.6552,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,290.984,246.785,199.048,1.676888,0.0,0.0,23.275,0.0,-0.063,-21.379,52.356,-0.321,-74.516,0.72,paper_rcm_log_20260616_110935_960_8218.csv,30.95975232198143,Unknown,Task3_Insertion,0.0,53.525340848927165,137.9272616770755
0.714,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,250.417,202.041,165.079,1.443048,0.0,0.0,19.116,0.0,-0.076,-20.321,53.334,-0.343,-81.82,0.797,paper_rcm_log_20260616_110935_960_8218.csv,17.006802721088444,Unknown,Task3_Insertion,0.0,45.55538169577617,150.53964560368996
0.7782,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,215.349,164.711,136.446,1.240946,0.0,0.0,16.1,0.0,-0.088,-19.242,53.815,-0.36,-87.822,0.852,paper_rcm_log_20260616_110935_960_8218.csv,15.576323987538933,Unknown,Task3_Insertion,0.0,35.762746367534774,111.15237256765991
0.8097,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,199.79,148.869,124.16,1.151295,0.0,0.0,15.001,0.0,-0.094,-18.719,53.938,-0.367,-90.408,0.873,paper_rcm_log_20260616_110935_960_8218.csv,31.746031746031775,Unknown,Task3_Insertion,0.0,33.10245903785836,66.91496286108664
0.8403,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,185.47,134.912,113.228,1.068791,0.0,0.0,14.153,0.0,-0.099,-18.213,54.011,-0.373,-92.752,0.89,paper_rcm_log_20260616_110935_960_8218.csv,32.67973856209143,Unknown,Task3_Insertion,0.0,31.836241074876646,57.37052422730824
0.8942,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,160.257,112.628,95.403,0.923557,0.0,0.0,13.115,0.0,-0.11,-17.268,54.058,-0.384,-96.807,0.918,paper_rcm_log_20260616_110935_960_8218.csv,18.552875695732858,Unknown,Task3_Insertion,0.0,27.486250666047074,121.05820983349406
0.9478,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,141.067,101.847,85.86,0.820315,0.0,0.0,12.964,0.0,-0.101,-16.533,54.305,-0.456,-99.791,0.81,paper_rcm_log_20260616_110935_960_8218.csv,18.656716417910456,Unknown,Task3_Insertion,0.0,19.874595839539158,122.3788072428668
1.0009,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,127.631,103.541,85.741,0.747938,0.0,0.0,13.453,0.0,-0.053,-16.057,55.032,-0.647,-101.742,0.441,paper_rcm_log_20260616_110935_960_8218.csv,18.832391713747672,Unknown,Task3_Insertion,0.0,16.668371660399472,45.409521971406846
1.0504,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,115.09,106.807,87.418,0.678237,0.0,0.0,13.948,0.0,-0.002,-15.586,55.671,-0.821,-103.55,0.088,paper_rcm_log_20260616_110935_960_8218.csv,20.20202020202016,Unknown,Task3_Insertion,0.0,15.698912391505962,25.44205051604719
1.1026,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,103.159,110.757,90.155,0.610574,0.0,0.0,14.403,0.0,0.045,-15.109,56.193,-0.966,-105.264,-0.219,paper_rcm_log_20260616_110935_960_8218.csv,19.157088122605355,Unknown,Task3_Insertion,0.0,14.421561215246776,31.90550819578861
1.1537,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,91.782,115.107,93.648,0.544213,0.0,0.0,14.8,0.0,0.086,-14.627,56.606,-1.079,-106.89,-0.464,paper_rcm_log_20260616_110935_960_8218.csv,19.569471624266175,Unknown,Task3_Insertion,0.0,12.832690189373956,26.511007610734172
1.213,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,80.908,119.35,97.393,0.480034,0.0,0.0,15.114,0.0,0.115,-14.145,56.897,-1.15,-108.432,-0.622,paper_rcm_log_20260616_110935_960_8218.csv,16.8634064080944,Unknown,Task3_Insertion,0.0,12.58724221434686,73.31802586730957
1.2589,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,70.634,123.321,101.148,0.418921,0.0,0.0,15.343,0.0,0.131,-13.674,57.076,-1.18,-109.868,-0.688,paper_rcm_log_20260616_110935_960_8218.csv,21.78649237472775,Unknown,Task3_Insertion,0.0,7.18729834759992,154.3944458596528
1.291,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,69.368,126.471,104.566,0.405269,0.0,0.0,15.284,0.0,0.131,-13.442,57.099,-1.17,-110.0,-0.665,paper_rcm_log_20260616_110935_960_8218.csv,31.152647975077866,Unknown,Task3_Insertion,0.0,3.235106854709638,110.01030898751117
1.3237,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,69.05,129.018,107.628,0.400212,0.0,0.0,15.123,0.0,0.12,-13.199,57.015,-1.128,-110.0,-0.569,paper_rcm_log_20260616_110935_960_8218.csv,30.58103975535152,Unknown,Task3_Insertion,0.0,4.317140328065141,52.529318672150495
1.3744,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.554,132.349,112.195,0.396279,0.0,0.0,14.717,0.0,0.081,-12.689,56.626,-1.003,-110.0,-0.282,paper_rcm_log_20260616_110935_960_8218.csv,19.723865877712043,Unknown,Task3_Insertion,0.0,6.129410215274903,27.62301015236466
1.4233,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.326,135.147,116.046,0.394901,0.0,0.0,14.373,0.0,0.045,-12.165,56.121,-0.891,-110.0,-0.025,paper_rcm_log_20260616_110935_960_8218.csv,20.449897750511273,Unknown,Task3_Insertion,0.0,6.6236284387781845,16.076539915027098
1.4722,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.294,137.825,119.556,0.394675,0.0,0.0,14.117,0.0,0.016,-11.632,55.554,-0.805,-110.0,0.174,paper_rcm_log_20260616_110935_960_8218.csv,20.449897750511273,Unknown,Task3_Insertion,0.0,6.925151704109454,12.85002396785331
1.5204,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.351,140.319,122.732,0.394965,0.0,0.0,13.932,0.0,-0.007,-11.093,54.933,-0.739,-110.0,0.328,paper_rcm_log_20260616_110935_960_8218.csv,20.74688796680497,Unknown,Task3_Insertion,0.0,7.170662316344449,10.499522340006855
1.5696,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.419,142.596,125.588,0.395331,0.0,0.0,13.802,0.0,-0.027,-10.549,54.264,-0.687,-110.0,0.448,paper_rcm_log_20260616_110935_960_8218.csv,20.325203252032466,Unknown,Task3_Insertion,0.0,7.4435082288819565,9.022493890553804
1.6178,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,68.444,144.642,128.141,0.395461,0.0,0.0,13.718,0.0,-0.042,-10.002,53.553,-0.647,-110.0,0.542,paper_rcm_log_20260616_110935_960_8218.csv,20.746887966805065,Unknown,Task3_Insertion,0.0,7.706589634689908,7.22959784616858
