time,mode,phase,solveIK,lambda,lambda0,insertion_progress,tip_entry_error_mm,tip_target_error_mm,rcm_error_mm,weighted_error,skull_violation_mm,arm_skull_violation_mm,entry_axis_error_deg,entry_cone_violation_deg,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.0821,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,,Unknown,Task3_Insertion,0.0,0.0,3.1275240665830434e-13
0.1192,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,26.954177897574127,Unknown,Task3_Insertion,0.0,1.160311428702309e-14,2.6706866478065e-13
0.1793,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,16.63893510815308,Unknown,Task3_Insertion,0.0,2.320622857404618e-14,4.23448896707298e-13
0.2174,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,26.24671916010497,Unknown,Task3_Insertion,0.0,3.4809342861069267e-14,4.0578127668805363e-13
0.2508,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,29.940119760479032,Unknown,Task3_Insertion,0.0,1.160311428702309e-14,8.219468446062292e-13
0.2816,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,32.46753246753247,Unknown,Task3_Insertion,0.0,2.320622857404618e-14,3.902731845735471e-13
0.3151,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,29.85074626865674,Unknown,Task3_Insertion,0.0,2.320622857404618e-14,2071.5839694550727
0.3462,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110604_571_5382.csv,32.15434083601284,Unknown,Task3_Insertion,0.0,124.23691013950489,3581.6143470916763
0.3841,InsertionSequence,ApproachEntry,1,0.65052,0.65,0.0,465.804,447.63,348.853,2.684993,0.0,0.0,46.388,0.0,-0.015,-21.946,39.27,-0.142,-35.519,0.219,paper_rcm_log_20260616_110604_571_5382.csv,26.38522427440634,Unknown,Task3_Insertion,0.0,241.0388547141401,1016.2326460697368
0.4263,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,387.331,356.104,281.094,2.232404,0.0,0.0,35.023,0.0,-0.035,-22.782,47.498,-0.246,-54.999,0.474,paper_rcm_log_20260616_110604_571_5382.csv,23.696682464454966,Unknown,Task3_Insertion,0.0,177.73429617447087,1453.0808596684462
