time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.08785,0.06785,14.73868,ApproachEntry,Double,757.2966,563.3542,91.75002,879.0125,879.0125,0.0,757.2966,88.24998,81.24998,0.0,0.0,0.15601,1.0,6,6,1,0.6806,1.22472,0.04515,1.01241,1.4284,0.13692,0.82,0.7,0.06,0.9,0.56,0.06,-3.06301,25.75862,-27.0,22.67546,25.33015,27.0,double_rcm_log_20260616_141013_665.csv,14.73868,Unknown,Task3_Insertion,0.0,88.24938377497232,161.16989577843677,224.52491689327977,135.15787857204668,534.0151141177132,879.0172094447297,5605.737569444332,234316.37207901367,1357316.7213988635,253.78327886436236,5162.122814339984
0.12029,0.03244,30.82703,ApproachEntry,Double,882.6085,659.3129,103.723,1015.91,1015.91,0.0,882.6085,76.27703,69.27703,0.0,0.0,0.15601,1.0,6,6,1,0.64632,1.30245,0.00613,0.93267,1.57537,0.06543,0.82,0.7,0.06,0.9,0.56,0.06,-1.77188,34.75862,-36.0,31.67546,34.33015,36.0,double_rcm_log_20260616_141013_665.csv,30.82703,Unknown,Task3_Insertion,0.0,76.27687724554337,156.6421637869644,199.1583011552316,142.9193943510988,532.1578011686156,1015.9099619060736,3451.3428734733284,191310.34264846315,3036071.695937591,352.7248140163667,3846.493253121419
0.15998,0.01053,94.92585,ApproachEntry,Double,417.6541,302.3547,94.73299,551.5757,551.5757,0.0,417.6541,85.26701,78.26701,0.0,0.0,0.15601,1.0,6,6,1,0.56876,0.88914,0.01374,0.88101,1.10558,0.13887,0.82,0.7,0.06,0.9,0.56,0.06,-2.19057,23.18256,-63.0,58.67546,50.75466,63.0,double_rcm_log_20260616_141013_665.csv,94.92585,Unknown,Task3_Insertion,0.0,85.26732223670041,160.69538837873444,218.42536614359472,140.41333227794007,266.1500551481903,551.5783112124695,8587.6168377988,16816.969951439005,3516107.2563406187,367.6922496703042,9737.54483258355
0.1995,0.00976,102.4324,ApproachEntry,Double,230.8909,447.5283,60.46599,387.1165,387.1165,0.0,230.8909,60.46599,53.46599,0.0,0.0,0.15601,1.0,6,6,1,0.37382,0.9241,0.00421,0.75999,0.91767,0.10827,0.82,0.7,0.06,0.9,0.56,0.06,-12.392,51.59185,-99.0,41.90064,14.75466,50.99791,double_rcm_log_20260616_141013_665.csv,102.4324,Unknown,Task3_Insertion,0.0,60.46557448803732,140.29290661020664,162.3785282908191,161.3464007125633,73.85004667463781,387.1183564492905,2193.9744796135624,93576.20379551746,245776.162144604,503.40433273832576,8899.383733699065
0.23813,0.01677,59.64684,ApproachEntry,Double,261.4808,510.6309,38.36301,413.0456,413.0456,0.0,261.4808,38.36301,31.36301,0.0,0.0,0.15601,1.0,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.1054,0.82,0.7,0.06,0.9,0.56,0.06,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791,double_rcm_log_20260616_141013_665.csv,59.64684,Unknown,Task3_Insertion,0.0,38.36357733529169,100.07671907697645,105.95950024876987,154.69524148067913,111.76757670066267,413.0495593751432,2425.1426129735332,10805.240361540695,1323045.2661314658,463.5886842375595,8124.821038999704
0.278,0.0138,72.46827,ApproachEntry,Double,112.2183,404.6218,15.80011,249.4708,249.4708,0.0,112.2183,15.80011,8.80012,0.0,0.0,0.15601,1.0,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82,0.7,0.06,0.9,0.56,0.06,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181,double_rcm_log_20260616_141013_665.csv,72.46827,Unknown,Task3_Insertion,0.0,15.798777412493072,43.900559936223395,44.321126223610335,130.79310898799474,84.95482655732174,249.46933559056905,2243.7704596809162,34657.05435601403,314232.66788281815,507.28777125450665,3738.140679710128
0.31816,0.01311,76.28137,ApproachEntry,Double,122.2802,456.9548,2.6399,281.9169,281.9169,0.0,122.2802,2.6399,0.0,0.0,0.0,0.15601,1.0,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82,0.7,0.06,0.9,0.56,0.06,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934,double_rcm_log_20260616_141013_665.csv,76.28137,Unknown,Task3_Insertion,0.0,2.6396516750405747,7.426035493600544,7.4280061506095745,167.6713142385658,26.108410934763114,281.91334023064604,1366.0882388804105,23994.881381880594,581369.2193188997,285.9623563500727,5948.195203454074
0.35752,0.01387,72.12157,AlignAtEntry,Double,7.67819,7.67819,0.3841,168.4573,168.4573,0.0,7.67819,0.3841,0.0,0.0,0.0,1.0,1.0,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82,0.7,0.06,0.9,0.56,0.06,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854,double_rcm_log_20260616_141013_665.csv,72.12157,Unknown,Task3_Insertion,0.0,0.38468493690653405,1.0825948572743724,1.0826009574651485,159.4717835627576,2.69330623241005,168.45946070197422,1447.3433387753573,20397.93623451703,457508.4195409317,99.45473724364489,3394.66600242597
0.38947,0.00971,102.948,InsertToTarget,Double,1.30783,1.07674,0.17471,160.5093,160.5093,0.00447,1.07884,0.17471,0.0,0.0,0.0,0.9982,1.0,6,6,1,0.62164,1.0465,0.05991,0.82042,0.69939,0.06108,0.82,0.7,0.06,0.9,0.56,0.06,-3.62734,20.85465,-17.1007,-43.79322,-51.92728,54.99028,double_rcm_log_20260616_141013_665.csv,102.948,Unknown,Task3_Insertion,0.0,0.1759699173750584,0.49522412000316457,0.4952247039105038,55.69757980734088,1.0817791613107424,160.51079371805488,161.34977472191576,24883.37771671815,206899.55782294032,17.3667615598823,1651.514121340496
0.43393,0.03275,30.5319,InsertToTarget,Double,1.82353,0.5599,0.09279,159.5116,159.5116,0.0107,0.56259,0.09279,0.0,0.0,0.0,0.99569,1.0,6,6,1,0.62224,1.0457,0.05994,0.82088,0.6985,0.06056,0.82,0.7,0.06,0.9,0.56,0.06,-3.60747,20.64095,-16.82774,-43.96442,-51.91706,55.21643,double_rcm_log_20260616_141013_665.csv,30.5319,Unknown,Task3_Insertion,0.0,0.09368841978409367,0.2636633476833297,0.2636634358012784,17.860623402485146,0.560351538013287,159.50717225253536,24.66865127795376,1345.2215059390608,248189.48081195247,4.19247245768032,138.47292612984893
