log_file,task,phase,samples,duration_s,tip_target_error_mm_max,tip_target_error_mm_mean,tip_target_error_mm_final,entry_rcm_error_mm_max,entry_rcm_error_mm_mean,entry_rcm_error_mm_final,target_rcm_error_mm_max,target_rcm_error_mm_mean,target_rcm_error_mm_final,task2_entry_cone_error_mm_max,task2_entry_cone_error_mm_mean,task2_entry_cone_error_mm_final,task4_tip_cone_error_mm_max,task4_tip_cone_error_mm_mean,task4_tip_cone_error_mm_final,active_task_error_mm_max,active_task_error_mm_mean,active_task_error_mm_final,skull_violation_mm_max,skull_violation_mm_mean,skull_violation_mm_final,qdot_norm_rad_s_max,qdot_norm_rad_s_mean,qdot_norm_rad_s_final,lambda_max,lambda_mean,lambda_final,fps_max,fps_mean,fps_final
project4_multircm_20260619_222549_881.csv,T3_safe_insertion,ApproachEntry,40,2.4302,396.521,332.69612500000005,377.183,472.729,217.118525,100.697,395.022,334.06014999999996,380.451,367.123,265.526475,367.123,389.568,330.4973,378.186,396.521,332.69612500000005,377.183,0.0,0.0,0.0,0.53114,0.387941,0.21889,0.995,0.9949999999999999,0.995,144.66,65.8045,66.78
project4_multircm_20260619_222549_881.csv,T3_safe_insertion,Done,155,9.52,14.206,1.3357483870967741,0.272,0.451,0.09809032258064516,0.007,282.843,282.8420064516129,282.843,26.617,22.472135483870968,22.268,37.001,34.771296774193544,35.044,14.206,1.3357483870967741,0.272,0.0,0.0,0.0,0.13562,0.020550967741935485,0.00039,0.62665,0.6085828387096773,0.60753,215.22,60.726645161290314,38.53
project4_multircm_20260619_222549_881.csv,T3_safe_insertion,InsertToTarget,166,9.947500000000002,288.134,155.19068072289156,15.897,8.893,0.457487951807229,0.416,291.732,283.1245,282.835,289.599,157.6136325301205,27.552,290.216,160.51793373493973,37.71,288.134,155.19068072289156,15.897,0.0,0.0,0.0,0.13367,0.09647518072289156,0.13367,0.995,0.8222678313253012,0.62904,185.54,65.35144578313253,45.55
project4_multircm_20260619_222549_881.csv,T3_safe_insertion,PierceEntry,105,6.308,381.244,340.61955238095237,289.401,103.542,62.13882857142856,10.159,384.554,344.0868476190476,292.999,373.224,338.63504761904767,290.891,382.159,341.6409523809524,291.477,381.244,340.61955238095237,289.401,0.0,0.0,0.0,0.54946,0.33695590476190473,0.09388,0.995,0.9949999999999998,0.995,188.1,66.42066666666666,39.89
project4_multircm_20260619_222549_881.csv,T1_entry_rcm_tip_target,Done,61,3.6398000000000046,0.245,0.06168852459016395,0.051,0.013,0.011721311475409836,0.013,282.843,282.8430000000001,282.843,22.273,22.27170491803278,22.272,35.052,35.04550819672131,35.041,0.245,0.06168852459016395,0.051,0.0,0.0,0.0,0.00325,0.0006273770491803279,0.0001,0.6075,0.6071939344262296,0.60716,177.81,62.64131147540984,47.51
project4_multircm_20260619_222549_881.csv,T2_target_rcm_entry_cone,Done,551,35.033,14.299,4.911970961887477,2.664,279.448,278.83550453720505,279.28,14.84,6.749161524500907,4.522,25.472,9.308335753176044,5.542,37.781,31.729411978221414,33.312,25.472,9.308335753176044,5.542,0.0,0.0,0.0,0.57494,0.11380041742286752,0.13545,0.995,0.995,0.995,225.46,54.06442831215971,31.56
project4_multircm_20260619_222549_881.csv,T4_entry_rcm_tip_cone,Done,634,42.137299999999996,37.308,33.510641955835965,25.679,9.033,1.0909006309148266,2.761,283.434,282.85353943217666,282.75,24.139,22.460741324921138,21.831,27.695,6.220293375394322,25.295,27.695,6.220293375394322,25.295,261.254,74.54309305993691,0.0,0.47129,0.14054052050473184,0.24957,0.60783,0.6046351261829652,0.60442,216.85,47.24698738170347,7.79
