time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok_10mm,tip_target_ok_25mm,skull_ok_0mm,log_file,time_rel_s
0.1292,0.10917,9.16,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71474,1.0417,0.19557,0.71372,1.04515,0.1956,0.63483,1.31301,0.19748,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,396.521,472.729,395.022,276.741,389.568,396.521,396.062,396.062,28.59,0.0,0.53114,0.0,-0.085,3.691,-80.987,0.469,60.886,0.0,-1.195,-21.147,2.315,6.425,20.757,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.0
0.1863,0.0077,129.92,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71442,1.05692,0.19212,0.71341,1.06038,0.19216,0.63491,1.32834,0.19554,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,386.168,457.449,384.767,265.704,379.345,386.168,384.997,393.089,28.68,0.0,0.51855,0.0,-0.158,2.493,-80.856,0.836,62.04,0.0,-1.308,-20.894,2.269,6.394,19.961,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.057099999999999984
0.2377,0.02511,39.83,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71413,1.07066,0.189,0.71312,1.07411,0.18906,0.6349,1.34213,0.19381,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,377.146,443.687,375.839,256.229,370.452,377.146,375.022,401.802,28.745,0.0,0.51366,0.0,-0.228,1.422,-80.741,1.166,63.057,0.0,-1.375,-20.806,2.285,6.422,19.619,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.10849999999999999
0.3069,0.02654,37.68,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71377,1.08917,0.1848,0.71276,1.09262,0.18488,0.63476,1.36067,0.19151,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,365.473,425.173,364.303,244.254,358.97,365.473,361.563,414.142,28.805,0.0,0.5041,0.0,-0.326,-0.005,-80.592,1.608,64.389,0.0,-1.445,-20.596,2.196,6.387,19.035,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.1777
0.3597,0.01828,54.71,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71353,1.10331,0.1816,0.71253,1.10676,0.18171,0.63459,1.37479,0.18977,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,356.946,411.05,355.889,235.775,350.604,356.946,351.255,423.982,28.829,0.0,0.49576,0.0,-0.405,-1.085,-80.482,1.944,65.377,0.0,-1.483,-20.41,2.102,6.333,18.536,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.2305
0.4113,0.01746,57.28,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71331,1.11715,0.17848,0.71231,1.12061,0.1786,0.63434,1.38858,0.18808,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,348.97,397.247,348.03,228.106,342.8,348.97,341.158,433.926,28.837,0.0,0.48921,0.0,-0.483,-2.132,-80.38,2.272,66.322,0.0,-1.547,-20.247,1.989,6.341,18.143,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.2821
0.4653,0.01417,70.58,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71311,1.13163,0.17522,0.7121,1.13508,0.17536,0.63401,1.40296,0.18633,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,341.051,382.849,340.242,220.817,335.075,341.051,330.594,444.613,28.829,0.0,0.48195,0.0,-0.567,-3.219,-80.275,2.612,67.286,0.0,-1.566,-20.096,1.918,6.284,17.693,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.33609999999999995
0.5368,0.02445,40.91,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71286,1.15084,0.17091,0.71185,1.15429,0.17108,0.63347,1.42199,0.18401,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,331.248,363.781,330.624,212.395,325.555,331.248,316.554,459.209,28.792,0.0,0.47429,0.0,-0.68,-4.647,-80.146,3.057,68.532,0.0,-1.56,-19.899,1.738,6.192,17.283,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.4076000000000001
0.6029,0.01922,52.04,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71267,1.16862,0.16694,0.71166,1.17207,0.16713,0.63285,1.43956,0.18188,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,322.954,346.192,322.514,206.0,317.55,322.954,303.544,473.077,28.731,0.0,0.46609,0.0,-0.783,-5.956,-80.033,3.464,69.649,0.0,-1.569,-19.768,1.727,6.122,16.717,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.4737
0.6675,0.02398,41.71,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.7125,1.18602,0.16308,0.71148,1.18946,0.1633,0.63215,1.45669,0.17979,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,315.635,329.051,315.386,201.157,310.539,315.635,290.812,486.93,28.649,0.0,0.45885,0.0,-0.882,-7.225,-79.928,3.853,70.711,0.0,-1.515,-19.615,1.615,5.981,16.301,0.0,0,0,1,project4_multircm_20260619_222549_881.csv,0.5383
